"DRS_id","DRS","Município","Janeiro Notificados","Janeiro Confirmados","Fevereiro Notificados","Fevereiro Confirmados","Março Notificados","Março Confirmados","Abril Notificados","Abril Confirmados","Maio Notificados","Maio Confirmados","Junho Notificados","Junho Confirmados","Julho Notificados","Julho Confirmados","Agosto Notificados","Agosto Confirmados","Setembro Notificados","Setembro Confirmados","Outubro Notificados","Outubro Confirmados","Novembro Notificados","Novembro Confirmados","Dezembro Notificados","Dezembro Confirmados","Total Notificados","Total Confirmados"
"2","Araçatuba","350210 Andradina","165.00","49.00","370.00","133.00","1,255.00","1,061.00","1,121.00","1,111.00","597.00","592.00","146.00","144.00","57.00","21.00","50.00","3.00","53.00","1.00","71.00","4.00","53.00","1.00","42.00","1.00","3,980.00","3,121.00"
"16","Sorocaba","350220 Angatuba","1.00","0.00","3.00","0.00","6.00","1.00","13.00","1.00","10.00","4.00","0.00","0.00","3.00","1.00","0.00","0.00","0.00","0.00","2.00","0.00","2.00","0.00","1.00","0.00","41.00","7.00"
"6","Bauru","350230 Anhembi","2.00","0.00","3.00","1.00","34.00","16.00","149.00","70.00","92.00","29.00","10.00","3.00","3.00","0.00","4.00","0.00","2.00","0.00","1.00","0.00","2.00","0.00","4.00","0.00","306.00","119.00"
"11","Presidente Prudente","350240 Anhumas","16.00","7.00","66.00","35.00","172.00","79.00","185.00","62.00","83.00","18.00","8.00","1.00","4.00","2.00","3.00","0.00","2.00","0.00","3.00","0.00","2.00","0.00","3.00","0.00","547.00","204.00"
"17","Taubaté","350250 Aparecida","20.00","7.00","112.00","52.00","304.00","94.00","271.00","62.00","117.00","34.00","27.00","7.00","7.00","1.00","6.00","0.00","13.00","0.00","11.00","0.00","10.00","1.00","12.00","2.00","910.00","260.00"
"15","São José do Rio Preto","350260 Aparecida d'Oeste","2.00","1.00","10.00","4.00","17.00","10.00","37.00","10.00","6.00","0.00","1.00","0.00","4.00","0.00","2.00","0.00","1.00","0.00","0.00","0.00","3.00","1.00","3.00","0.00","86.00","26.00"
"16","Sorocaba","350270 Apiaí","1.00","0.00","1.00","0.00","3.00","0.00","6.00","0.00","5.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","20.00","1.00"
"16","Sorocaba","350275 Araçariguama","4.00","1.00","21.00","4.00","42.00","29.00","76.00","51.00","56.00","28.00","5.00","2.00","5.00","0.00","1.00","0.00","3.00","0.00","2.00","0.00","1.00","0.00","1.00","0.00","217.00","115.00"
"2","Araçatuba","350280 Araçatuba","792.00","62.00","1,026.00","81.00","1,921.00","188.00","2,011.00","301.00","1,370.00","184.00","661.00","63.00","552.00","24.00","625.00","12.00","562.00","14.00","599.00","25.00","461.00","15.00","388.00","20.00","10,968.00","989.00"
"16","Sorocaba","350290 Araçoiaba da Serra","10.00","0.00","13.00","0.00","61.00","6.00","100.00","18.00","102.00","25.00","39.00","8.00","19.00","2.00","12.00","1.00","19.00","0.00","16.00","0.00","17.00","1.00","10.00","0.00","418.00","61.00"
"8","Franca","350300 Aramina","1.00","0.00","4.00","3.00","3.00","0.00","2.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11.00","4.00"
"6","Bauru","350310 Arandu","1.00","0.00","3.00","0.00","13.00","1.00","88.00","30.00","57.00","39.00","15.00","10.00","1.00","0.00","0.00","0.00","2.00","1.00","1.00","0.00","1.00","0.00","0.00","0.00","182.00","81.00"
"17","Taubaté","350315 Arapeí","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"3","Araraquara","350320 Araraquara","326.00","13.00","579.00","38.00","897.00","124.00","902.00","224.00","826.00","188.00","392.00","44.00","224.00","20.00","269.00","21.00","273.00","23.00","343.00","26.00","361.00","33.00","214.00","14.00","5,606.00","768.00"
"10","Piracicaba","350330 Araras","73.00","6.00","111.00","6.00","212.00","16.00","100.00","6.00","107.00","5.00","19.00","2.00","24.00","2.00","14.00","0.00","39.00","1.00","31.00","0.00","29.00","0.00","22.00","2.00","781.00","46.00"
"9","Marília","350335 Arco-Íris","84.00","79.00","65.00","60.00","42.00","37.00","33.00","28.00","3.00","2.00","1.00","1.00","1.00","0.00","0.00","0.00","1.00","0.00","4.00","2.00","0.00","0.00","0.00","0.00","234.00","209.00"
"6","Bauru","350340 Arealva","1.00","1.00","8.00","3.00","74.00","44.00","261.00","154.00","263.00","101.00","73.00","33.00","1.00","1.00","7.00","5.00","4.00","1.00","8.00","5.00","27.00","16.00","13.00","3.00","740.00","367.00"
"17","Taubaté","350350 Areias","0.00","0.00","0.00","0.00","13.00","4.00","5.00","0.00","1.00","0.00","1.00","0.00","1.00","0.00","1.00","0.00","2.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","26.00","4.00"
"6","Bauru","350360 Areiópolis","2.00","1.00","7.00","1.00","14.00","5.00","24.00","12.00","23.00","8.00","5.00","1.00","10.00","5.00","3.00","1.00","0.00","0.00","0.00","0.00","3.00","0.00","0.00","0.00","91.00","34.00"
"15","São José do Rio Preto","350370 Ariranha","8.00","1.00","18.00","5.00","44.00","2.00","28.00","7.00","35.00","19.00","31.00","11.00","11.00","3.00","7.00","0.00","1.00","0.00","13.00","0.00","8.00","3.00","26.00","13.00","230.00","64.00"
"7","Campinas","350380 Artur Nogueira","12.00","0.00","19.00","0.00","60.00","10.00","67.00","7.00","48.00","16.00","16.00","1.00","15.00","3.00","25.00","5.00","11.00","0.00","17.00","0.00","11.00","1.00","12.00","4.00","313.00","47.00"
"1","São Paulo","350390 Arujá","9.00","0.00","10.00","4.00","40.00","13.00","65.00","42.00","34.00","20.00","16.00","8.00","6.00","1.00","3.00","1.00","12.00","0.00","14.00","2.00","15.00","0.00","14.00","2.00","238.00","93.00"
"15","São José do Rio Preto","350395 Aspásia","2.00","1.00","10.00","1.00","29.00","11.00","7.00","4.00","3.00","1.00","2.00","1.00","2.00","1.00","1.00","0.00","3.00","0.00","2.00","0.00","1.00","0.00","1.00","0.00","63.00","20.00"
"9","Marília","350400 Assis","140.00","32.00","200.00","126.00","731.00","506.00","1,574.00","1,517.00","1,295.00","1,059.00","183.00","47.00","104.00","51.00","56.00","36.00","54.00","26.00","55.00","34.00","40.00","31.00","59.00","52.00","4,491.00","3,517.00"
"7","Campinas","350410 Atibaia","65.00","27.00","69.00","35.00","111.00","70.00","173.00","124.00","142.00","87.00","67.00","46.00","31.00","20.00","38.00","23.00","85.00","54.00","106.00","73.00","88.00","52.00","77.00","41.00","1,052.00","652.00"
"2","Araçatuba","350420 Auriflama","2.00","0.00","6.00","1.00","51.00","7.00","19.00","5.00","4.00","1.00","2.00","0.00","2.00","1.00","9.00","1.00","1.00","0.00","2.00","0.00","0.00","0.00","1.00","0.00","99.00","16.00"
"6","Bauru","350430 Avaí","4.00","3.00","4.00","1.00","11.00","5.00","7.00","5.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4.00","0.00","30.00","14.00"
"2","Araçatuba","350440 Avanhandava","3.00","2.00","0.00","0.00","2.00","1.00","32.00","25.00","11.00","11.00","3.00","2.00","3.00","3.00","1.00","1.00","1.00","1.00","0.00","0.00","1.00","0.00","1.00","1.00","58.00","47.00"
"6","Bauru","350450 Avaré","8.00","0.00","15.00","3.00","130.00","53.00","247.00","95.00","260.00","130.00","56.00","23.00","14.00","4.00","8.00","0.00","5.00","0.00","10.00","0.00","9.00","0.00","8.00","2.00","770.00","310.00"
"15","São José do Rio Preto","350460 Bady Bassitt","108.00","10.00","125.00","17.00","213.00","35.00","226.00","52.00","155.00","68.00","52.00","19.00","44.00","11.00","27.00","3.00","35.00","4.00","55.00","5.00","98.00","4.00","63.00","3.00","1,201.00","231.00"
"6","Bauru","350470 Balbinos","0.00","0.00","10.00","3.00","127.00","84.00","99.00","62.00","9.00","8.00","0.00","0.00","0.00","0.00","0.00","0.00","2.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","247.00","157.00"
"15","São José do Rio Preto","350480 Bálsamo","13.00","0.00","14.00","1.00","27.00","1.00","10.00","2.00","11.00","3.00","4.00","3.00","12.00","3.00","11.00","1.00","5.00","1.00","13.00","2.00","21.00","0.00","14.00","0.00","155.00","17.00"
"17","Taubaté","350490 Bananal","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","2.00","0.00","0.00","0.00","1.00","1.00","4.00","2.00"
