"DRS_id","DRS","Município","Janeiro Notificados","Janeiro Confirmados","Fevereiro Notificados","Fevereiro Confirmados","Março Notificados","Março Confirmados","Abril Notificados","Abril Confirmados","Maio Notificados","Maio Confirmados","Junho Notificados","Junho Confirmados","Julho Notificados","Julho Confirmados","Agosto Notificados","Agosto Confirmados","Setembro Notificados","Setembro Confirmados","Outubro Notificados","Outubro Confirmados","Novembro Notificados","Novembro Confirmados","Dezembro Notificados","Dezembro Confirmados","Total Notificados","Total Confirmados"
"1","São Paulo","350900 Caieiras","16.00","0.00","20.00","3.00","34.00","7.00","37.00","9.00","47.00","10.00","11.00","2.00","7.00","2.00","6.00","1.00","11.00","0.00","11.00","1.00","12.00","0.00","17.00","6.00","229.00","41.00"
"11","Presidente Prudente","350910 Caiuá","5.00","1.00","14.00","4.00","68.00","25.00","104.00","53.00","65.00","31.00","17.00","3.00","0.00","0.00","3.00","1.00","2.00","0.00","0.00","0.00","3.00","1.00","2.00","0.00","283.00","119.00"
"1","São Paulo","350920 Cajamar","25.00","2.00","29.00","1.00","63.00","6.00","97.00","10.00","85.00","9.00","53.00","6.00","29.00","0.00","28.00","0.00","28.00","1.00","35.00","2.00","20.00","0.00","37.00","2.00","529.00","39.00"
"12","Registro","350925 Cajati","1.00","0.00","2.00","1.00","0.00","0.00","0.00","0.00","3.00","3.00","5.00","1.00","7.00","2.00","7.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.00","0.00","26.00","8.00"
"5","Barretos","350930 Cajobi","63.00","41.00","299.00","178.00","261.00","122.00","75.00","64.00","28.00","23.00","3.00","1.00","0.00","0.00","1.00","1.00","3.00","1.00","0.00","0.00","2.00","1.00","2.00","0.00","737.00","432.00"
"13","Riberão Preto","350940 Cajuru","2.00","0.00","6.00","0.00","6.00","1.00","6.00","0.00","4.00","2.00","1.00","1.00","0.00","0.00","2.00","0.00","3.00","0.00","4.00","0.00","0.00","0.00","2.00","0.00","36.00","4.00"
"16","Sorocaba","350945 Campina do Monte Alegre","0.00","0.00","0.00","0.00","4.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","3.00","0.00","2.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","11.00","0.00"
"7","Campinas","350950 Campinas","850.00","162.00","1,752.00","618.00","3,690.00","2,630.00","3,496.00","2,867.00","2,946.00","2,433.00","1,234.00","805.00","754.00","169.00","825.00","126.00","810.00","140.00","845.00","223.00","766.00","515.00","852.00","577.00","18,820.00","11,265.00"
"7","Campinas","350960 Campo Limpo Paulista","14.00","1.00","35.00","9.00","71.00","12.00","78.00","24.00","72.00","21.00","42.00","7.00","26.00","9.00","20.00","4.00","17.00","7.00","17.00","4.00","1.00","0.00","9.00","7.00","402.00","105.00"
"17","Taubaté","350970 Campos do Jordão","1.00","0.00","2.00","0.00","3.00","0.00","3.00","0.00","10.00","0.00","3.00","0.00","1.00","0.00","1.00","0.00","2.00","0.00","3.00","0.00","2.00","0.00","2.00","0.00","33.00","0.00"
"9","Marília","350980 Campos Novos Paulista","5.00","0.00","27.00","14.00","157.00","95.00","184.00","140.00","66.00","55.00","12.00","5.00","1.00","0.00","3.00","0.00","4.00","0.00","0.00","0.00","2.00","0.00","0.00","0.00","461.00","309.00"
"12","Registro","350990 Cananéia","1.00","0.00","0.00","0.00","3.00","1.00","15.00","4.00","14.00","2.00","4.00","1.00","5.00","1.00","2.00","0.00","1.00","0.00","7.00","0.00","1.00","0.00","3.00","0.00","56.00","9.00"
"17","Taubaté","350995 Canas","0.00","0.00","0.00","0.00","2.00","0.00","4.00","0.00","2.00","0.00","1.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","2.00","0.00","0.00","0.00","1.00","0.00","14.00","0.00"
"9","Marília","351000 Cândido Mota","34.00","2.00","88.00","21.00","268.00","149.00","606.00","409.00","696.00","455.00","170.00","72.00","47.00","5.00","20.00","2.00","18.00","2.00","18.00","1.00","19.00","0.00","28.00","1.00","2,012.00","1,119.00"
"3","Araraquara","351010 Cândido Rodrigues","7.00","6.00","24.00","19.00","110.00","106.00","50.00","45.00","16.00","16.00","1.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","210.00","192.00"
"9","Marília","351015 Canitar","22.00","3.00","43.00","15.00","318.00","94.00","393.00","151.00","140.00","47.00","14.00","2.00","5.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","1.00","1.00","937.00","313.00"
"16","Sorocaba","351020 Capão Bonito","8.00","0.00","15.00","2.00","175.00","104.00","372.00","233.00","296.00","194.00","46.00","17.00","11.00","1.00","9.00","0.00","9.00","1.00","7.00","1.00","4.00","0.00","2.00","0.00","954.00","553.00"
"16","Sorocaba","351030 Capela do Alto","39.00","0.00","37.00","1.00","122.00","9.00","208.00","69.00","178.00","45.00","66.00","8.00","19.00","1.00","18.00","0.00","19.00","0.00","33.00","0.00","21.00","0.00","19.00","0.00","779.00","133.00"
"10","Piracicaba","351040 Capivari","7.00","0.00","17.00","1.00","44.00","6.00","52.00","16.00","111.00","38.00","34.00","8.00","20.00","1.00","18.00","0.00","25.00","0.00","26.00","1.00","17.00","5.00","17.00","8.00","388.00","84.00"
"17","Taubaté","351050 Caraguatatuba","261.00","9.00","209.00","5.00","719.00","56.00","1,092.00","168.00","1,388.00","194.00","527.00","39.00","277.00","16.00","368.00","15.00","473.00","11.00","656.00","9.00","515.00","23.00","455.00","37.00","6,940.00","582.00"
"1","São Paulo","351060 Carapicuíba","19.00","4.00","42.00","8.00","79.00","16.00","92.00","28.00","71.00","15.00","34.00","10.00","16.00","1.00","19.00","1.00","23.00","1.00","17.00","3.00","24.00","2.00","16.00","3.00","452.00","92.00"
"15","São José do Rio Preto","351070 Cardoso","12.00","3.00","5.00","3.00","9.00","5.00","17.00","4.00","11.00","5.00","4.00","1.00","4.00","1.00","2.00","0.00","3.00","0.00","6.00","2.00","10.00","2.00","6.00","2.00","89.00","28.00"
"14","São João da Boa Vista","351080 Casa Branca","2.00","0.00","7.00","2.00","22.00","6.00","39.00","10.00","116.00","54.00","39.00","16.00","14.00","3.00","11.00","3.00","6.00","0.00","5.00","2.00","8.00","1.00","3.00","1.00","272.00","98.00"
"13","Riberão Preto","351090 Cássia dos Coqueiros","7.00","3.00","0.00","0.00","1.00","1.00","3.00","2.00","3.00","1.00","1.00","1.00","2.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","19.00","8.00"
"2","Araçatuba","351100 Castilho","54.00","22.00","76.00","27.00","360.00","125.00","236.00","100.00","166.00","55.00","60.00","25.00","31.00","10.00","13.00","3.00","12.00","6.00","21.00","10.00","11.00","0.00","12.00","0.00","1,052.00","383.00"
"15","São José do Rio Preto","351110 Catanduva","181.00","40.00","252.00","96.00","534.00","167.00","599.00","309.00","449.00","246.00","205.00","99.00","120.00","50.00","99.00","20.00","110.00","25.00","161.00","30.00","188.00","77.00","199.00","88.00","3,097.00","1,247.00"
"15","São José do Rio Preto","351120 Catiguá","1.00","1.00","15.00","5.00","14.00","6.00","17.00","5.00","8.00","3.00","8.00","3.00","2.00","0.00","8.00","1.00","2.00","0.00","7.00","1.00","4.00","1.00","5.00","1.00","91.00","27.00"
"15","São José do Rio Preto","351130 Cedral","41.00","9.00","39.00","8.00","75.00","16.00","60.00","19.00","46.00","11.00","20.00","7.00","11.00","1.00","11.00","1.00","16.00","1.00","30.00","7.00","27.00","7.00","38.00","3.00","414.00","90.00"
"6","Bauru","351140 Cerqueira César","0.00","0.00","9.00","9.00","72.00","45.00","212.00","200.00","70.00","69.00","5.00","5.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","369.00","328.00"
"16","Sorocaba","351150 Cerquilho","16.00","2.00","14.00","0.00","80.00","11.00","120.00","27.00","79.00","11.00","18.00","3.00","4.00","0.00","10.00","2.00","8.00","1.00","12.00","0.00","12.00","1.00","8.00","0.00","381.00","58.00"
"16","Sorocaba","351160 Cesário Lange","14.00","0.00","29.00","4.00","65.00","12.00","38.00","9.00","46.00","8.00","7.00","0.00","8.00","0.00","1.00","0.00","14.00","0.00","10.00","0.00","10.00","0.00","6.00","0.00","248.00","33.00"
"10","Piracicaba","351170 Charqueada","19.00","0.00","39.00","6.00","150.00","40.00","147.00","31.00","128.00","19.00","57.00","7.00","24.00","0.00","23.00","0.00","26.00","0.00","29.00","0.00","27.00","1.00","14.00","0.00","683.00","104.00"
"2","Araçatuba","351190 Clementina","0.00","0.00","2.00","0.00","2.00","1.00","4.00","2.00","3.00","2.00","1.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.00","0.00","0.00","0.00","14.00","6.00"
"5","Barretos","351200 Colina","16.00","1.00","33.00","4.00","91.00","18.00","106.00","38.00","50.00","27.00","9.00","6.00","9.00","1.00","19.00","5.00","8.00","1.00","14.00","1.00","13.00","1.00","40.00","28.00","408.00","131.00"
"5","Barretos","351210 Colômbia","7.00","0.00","9.00","3.00","66.00","36.00","137.00","107.00","145.00","141.00","50.00","49.00","2.00","1.00","2.00","2.00","3.00","1.00","3.00","0.00","3.00","0.00","0.00","0.00","427.00","340.00"
"10","Piracicaba","351220 Conchal","2.00","0.00","12.00","2.00","49.00","8.00","99.00","26.00","70.00","10.00","19.00","0.00","5.00","0.00","10.00","0.00","21.00","3.00","25.00","0.00","18.00","0.00","4.00","0.00","334.00","49.00"
"6","Bauru","351230 Conchas","6.00","4.00","122.00","34.00","392.00","150.00","390.00","237.00","375.00","153.00","52.00","22.00","17.00","0.00","8.00","0.00","10.00","0.00","21.00","0.00","16.00","1.00","9.00","1.00","1,418.00","602.00"
"10","Piracicaba","351240 Cordeirópolis","30.00","0.00","27.00","1.00","94.00","8.00","127.00","6.00","94.00","7.00","30.00","2.00","11.00","0.00","16.00","0.00","17.00","0.00","17.00","1.00","24.00","0.00","9.00","1.00","496.00","26.00"
"2","Araçatuba","351250 Coroados","52.00","2.00","32.00","2.00","76.00","12.00","97.00","11.00","58.00","10.00","22.00","2.00","13.00","0.00","12.00","0.00","13.00","1.00","25.00","0.00","14.00","1.00","7.00","0.00","421.00","41.00"
"6","Bauru","351260 Coronel Macedo","0.00","0.00","0.00","0.00","13.00","2.00","21.00","7.00","33.00","14.00","4.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.00","1.00","74.00","24.00"
"10","Piracicaba","351270 Corumbataí","5.00","0.00","4.00","3.00","11.00","8.00","6.00","4.00","8.00","5.00","3.00","1.00","1.00","0.00","1.00","0.00","2.00","0.00","0.00","0.00","2.00","0.00","1.00","0.00","44.00","21.00"
"7","Campinas","351280 Cosmópolis","16.00","0.00","25.00","7.00","68.00","7.00","109.00","10.00","95.00","22.00","19.00","3.00","7.00","2.00","6.00","1.00","7.00","0.00","8.00","0.00","13.00","0.00","5.00","2.00","378.00","54.00"
"15","São José do Rio Preto","351290 Cosmorama","26.00","3.00","29.00","7.00","32.00","7.00","24.00","3.00","16.00","2.00","3.00","0.00","1.00","0.00","3.00","0.00","5.00","1.00","3.00","0.00","1.00","0.00","1.00","0.00","144.00","23.00"
"1","São Paulo","351300 Cotia","62.00","10.00","122.00","3.00","143.00","15.00","113.00","34.00","90.00","22.00","41.00","8.00","35.00","4.00","27.00","1.00","19.00","0.00","35.00","0.00","36.00","3.00","31.00","4.00","754.00","104.00"
"13","Riberão Preto","351310 Cravinhos","27.00","2.00","28.00","3.00","194.00","37.00","382.00","90.00","349.00","62.00","60.00","14.00","14.00","3.00","22.00","2.00","14.00","0.00","15.00","8.00","21.00","7.00","43.00","19.00","1,169.00","247.00"
"8","Franca","351320 Cristais Paulista","5.00","1.00","1.00","0.00","8.00","0.00","16.00","5.00","17.00","11.00","3.00","1.00","2.00","0.00","2.00","0.00","2.00","0.00","2.00","0.00","3.00","0.00","8.00","0.00","69.00","18.00"
"9","Marília","351330 Cruzália","6.00","3.00","18.00","12.00","85.00","77.00","63.00","61.00","8.00","7.00","2.00","2.00","0.00","0.00","2.00","1.00","1.00","1.00","1.00","1.00","0.00","0.00","2.00","1.00","188.00","166.00"
"17","Taubaté","351340 Cruzeiro","10.00","0.00","17.00","1.00","73.00","1.00","35.00","1.00","15.00","0.00","10.00","0.00","1.00","1.00","5.00","1.00","6.00","1.00","7.00","1.00","13.00","2.00","7.00","0.00","199.00","9.00"
"4","Baixada Santista","351350 Cubatão","81.00","1.00","110.00","6.00","132.00","5.00","113.00","10.00","90.00","15.00","39.00","6.00","28.00","7.00","23.00","5.00","37.00","2.00","38.00","2.00","41.00","1.00","35.00","1.00","767.00","61.00"
"17","Taubaté","351360 Cunha","0.00","0.00","4.00","1.00","30.00","6.00","52.00","17.00","37.00","6.00","3.00","0.00","2.00","0.00","3.00","0.00","6.00","0.00","1.00","0.00","2.00","0.00","2.00","0.00","142.00","30.00"
"3","Araraquara","351370 Descalvado","11.00","0.00","17.00","0.00","28.00","3.00","31.00","4.00","25.00","9.00","20.00","7.00","13.00","4.00","19.00","3.00","16.00","1.00","18.00","7.00","19.00","4.00","11.00","0.00","228.00","42.00"
"1","São Paulo","351380 Diadema","44.00","9.00","58.00","8.00","143.00","39.00","159.00","71.00","118.00","54.00","68.00","19.00","52.00","6.00","30.00","3.00","31.00","2.00","33.00","6.00","23.00","6.00","41.00","10.00","800.00","233.00"
"15","São José do Rio Preto","351385 Dirce Reis","0.00","0.00","0.00","0.00","9.00","5.00","24.00","20.00","14.00","8.00","2.00","0.00","0.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","2.00","2.00","53.00","35.00"
"14","São João da Boa Vista","351390 Divinolândia","0.00","0.00","1.00","0.00","2.00","0.00","2.00","0.00","4.00","1.00","0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","12.00","1.00"
"3","Araraquara","351400 Dobrada","16.00","1.00","25.00","5.00","121.00","31.00","266.00","116.00","327.00","94.00","52.00","24.00","23.00","11.00","8.00","1.00","2.00","0.00","10.00","1.00","10.00","3.00","4.00","0.00","864.00","287.00"
"6","Bauru","351410 Dois Córregos","11.00","1.00","13.00","2.00","42.00","18.00","91.00","53.00","84.00","56.00","26.00","15.00","10.00","5.00","18.00","13.00","9.00","7.00","11.00","4.00","24.00","21.00","107.00","82.00","446.00","277.00"
"15","São José do Rio Preto","351420 Dolcinópolis","2.00","0.00","22.00","11.00","50.00","13.00","56.00","13.00","20.00","6.00","4.00","1.00","0.00","0.00","3.00","1.00","2.00","0.00","1.00","1.00","1.00","0.00","1.00","0.00","162.00","46.00"
"3","Araraquara","351430 Dourado","14.00","2.00","28.00","7.00","132.00","79.00","261.00","200.00","151.00","104.00","36.00","14.00","13.00","11.00","17.00","10.00","7.00","3.00","8.00","7.00","4.00","1.00","2.00","1.00","673.00","439.00"
"11","Presidente Prudente","351440 Dracena","222.00","133.00","823.00","710.00","1,522.00","1,258.00","1,143.00","802.00","472.00","162.00","46.00","10.00","24.00","8.00","31.00","6.00","43.00","10.00","80.00","10.00","49.00","1.00","22.00","0.00","4,477.00","3,110.00"
"6","Bauru","351450 Duartina","2.00","0.00","1.00","0.00","4.00","3.00","12.00","4.00","8.00","3.00","0.00","0.00","3.00","0.00","1.00","1.00","1.00","0.00","2.00","0.00","0.00","0.00","0.00","0.00","34.00","11.00"
"13","Riberão Preto","351460 Dumont","18.00","3.00","59.00","18.00","147.00","82.00","116.00","75.00","32.00","17.00","6.00","1.00","5.00","0.00","3.00","1.00","9.00","3.00","4.00","0.00","12.00","0.00","11.00","1.00","422.00","201.00"
"9","Marília","351470 Echaporã","118.00","88.00","159.00","118.00","364.00","347.00","38.00","38.00","1.00","1.00","3.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","4.00","1.00","690.00","593.00"
"12","Registro","351480 Eldorado","2.00","1.00","3.00","0.00","5.00","0.00","9.00","0.00","10.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","29.00","1.00"
"10","Piracicaba","351490 Elias Fausto","7.00","0.00","1.00","0.00","13.00","3.00","26.00","0.00","14.00","0.00","5.00","0.00","2.00","0.00","2.00","0.00","1.00","0.00","2.00","0.00","4.00","0.00","5.00","0.00","82.00","3.00"
"15","São José do Rio Preto","351492 Elisiário","1.00","0.00","0.00","0.00","25.00","1.00","10.00","0.00","4.00","1.00","1.00","0.00","0.00","0.00","1.00","0.00","2.00","0.00","1.00","0.00","1.00","0.00","1.00","0.00","47.00","2.00"
"15","São José do Rio Preto","351495 Embaúba","15.00","9.00","24.00","19.00","21.00","8.00","24.00","12.00","4.00","4.00","3.00","2.00","0.00","0.00","0.00","0.00","1.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","94.00","54.00"
"1","São Paulo","351500 Embu","42.00","1.00","34.00","1.00","96.00","13.00","144.00","9.00","95.00","6.00","55.00","3.00","22.00","1.00","22.00","1.00","36.00","0.00","25.00","1.00","30.00","1.00","29.00","0.00","630.00","37.00"
"1","São Paulo","351510 Embu-Guaçu","7.00","0.00","8.00","0.00","5.00","3.00","8.00","2.00","4.00","1.00","8.00","1.00","1.00","0.00","1.00","0.00","2.00","0.00","3.00","0.00","3.00","0.00","3.00","0.00","53.00","7.00"
"11","Presidente Prudente","351512 Emilianópolis","14.00","6.00","64.00","44.00","285.00","212.00","162.00","139.00","48.00","30.00","3.00","1.00","0.00","0.00","0.00","0.00","1.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","579.00","432.00"
"10","Piracicaba","351515 Engenheiro Coelho","34.00","6.00","36.00","3.00","94.00","9.00","101.00","8.00","76.00","4.00","17.00","0.00","16.00","0.00","13.00","0.00","20.00","0.00","21.00","0.00","8.00","0.00","10.00","1.00","446.00","31.00"
"14","São João da Boa Vista","351518 Espírito Santo do Pinhal","49.00","5.00","32.00","3.00","75.00","8.00","113.00","15.00","77.00","6.00","40.00","5.00","17.00","1.00","21.00","0.00","25.00","1.00","41.00","4.00","23.00","1.00","34.00","2.00","547.00","51.00"
"9","Marília","351519 Espírito Santo do Turvo","0.00","0.00","3.00","0.00","18.00","1.00","17.00","5.00","3.00","1.00","2.00","1.00","1.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","47.00","8.00"
"15","São José do Rio Preto","351520 Estrela d'Oeste","15.00","2.00","36.00","5.00","121.00","8.00","42.00","1.00","24.00","3.00","6.00","0.00","12.00","0.00","6.00","1.00","13.00","0.00","6.00","0.00","4.00","0.00","7.00","0.00","292.00","20.00"
"11","Presidente Prudente","351530 Estrela do Norte","36.00","6.00","116.00","61.00","341.00","281.00","217.00","191.00","53.00","20.00","13.00","7.00","6.00","1.00","4.00","0.00","8.00","1.00","3.00","0.00","17.00","0.00","9.00","2.00","823.00","570.00"
"11","Presidente Prudente","351535 Euclides da Cunha Paulista","53.00","33.00","60.00","39.00","285.00","180.00","99.00","74.00","22.00","15.00","12.00","10.00","1.00","0.00","3.00","1.00","3.00","0.00","2.00","0.00","2.00","0.00","1.00","0.00","543.00","352.00"
"6","Bauru","351540 Fartura","2.00","1.00","0.00","0.00","3.00","2.00","68.00","31.00","53.00","17.00","6.00","4.00","1.00","1.00","2.00","1.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","136.00","57.00"
"15","São José do Rio Preto","351550 Fernandópolis","43.00","6.00","101.00","15.00","383.00","30.00","345.00","50.00","174.00","43.00","46.00","18.00","45.00","7.00","52.00","5.00","37.00","3.00","62.00","2.00","51.00","3.00","29.00","1.00","1,368.00","183.00"
"15","São José do Rio Preto","351560 Fernando Prestes","63.00","42.00","201.00","138.00","206.00","154.00","126.00","102.00","42.00","35.00","6.00","5.00","4.00","2.00","3.00","0.00","2.00","0.00","10.00","0.00","3.00","1.00","3.00","1.00","669.00","480.00"
"9","Marília","351565 Fernão","0.00","0.00","8.00","0.00","10.00","0.00","2.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","23.00","1.00"
"1","São Paulo","351570 Ferraz de Vasconcelos","27.00","3.00","27.00","4.00","73.00","5.00","55.00","10.00","72.00","22.00","32.00","5.00","5.00","1.00","12.00","1.00","12.00","0.00","14.00","1.00","28.00","5.00","27.00","5.00","384.00","62.00"
"11","Presidente Prudente","351580 Flora Rica","4.00","3.00","13.00","12.00","109.00","98.00","131.00","121.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","258.00","234.00"
"15","São José do Rio Preto","351590 Floreal","5.00","0.00","2.00","0.00","8.00","1.00","17.00","4.00","21.00","10.00","1.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","4.00","0.00","2.00","0.00","0.00","0.00","61.00","15.00"
"9","Marília","351600 Flórida Paulista","45.00","27.00","127.00","99.00","285.00","231.00","212.00","177.00","70.00","54.00","10.00","6.00","3.00","3.00","3.00","0.00","4.00","0.00","0.00","0.00","1.00","0.00","4.00","2.00","764.00","599.00"
"9","Marília","351610 Florínia","17.00","1.00","10.00","0.00","10.00","2.00","7.00","5.00","12.00","9.00","8.00","4.00","6.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","2.00","1.00","1.00","1.00","74.00","24.00"
"8","Franca","351620 Franca","265.00","93.00","416.00","152.00","1,151.00","473.00","982.00","381.00","666.00","255.00","289.00","67.00","180.00","50.00","139.00","33.00","190.00","35.00","260.00","55.00","246.00","37.00","362.00","106.00","5,146.00","1,737.00"
"1","São Paulo","351630 Francisco Morato","9.00","1.00","33.00","4.00","117.00","35.00","135.00","31.00","83.00","15.00","30.00","8.00","15.00","1.00","11.00","1.00","12.00","2.00","10.00","0.00","10.00","5.00","10.00","1.00","475.00","104.00"
"1","São Paulo","351640 Franco da Rocha","22.00","5.00","65.00","27.00","175.00","56.00","346.00","213.00","224.00","91.00","58.00","19.00","23.00","2.00","15.00","2.00","18.00","0.00","31.00","0.00","21.00","8.00","76.00","16.00","1,074.00","439.00"
"2","Araçatuba","351650 Gabriel Monteiro","2.00","0.00","1.00","0.00","8.00","6.00","22.00","12.00","5.00","2.00","1.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","41.00","20.00"
"9","Marília","351660 Gália","5.00","0.00","3.00","1.00","41.00","13.00","84.00","40.00","38.00","18.00","1.00","0.00","0.00","0.00","1.00","0.00","1.00","0.00","2.00","0.00","1.00","0.00","2.00","0.00","179.00","72.00"
"9","Marília","351670 Garça","46.00","4.00","92.00","23.00","148.00","42.00","209.00","67.00","230.00","81.00","47.00","12.00","20.00","3.00","33.00","3.00","52.00","5.00","51.00","10.00","67.00","10.00","56.00","13.00","1,051.00","273.00"
"15","São José do Rio Preto","351680 Gastão Vidigal","2.00","0.00","8.00","1.00","7.00","2.00","4.00","0.00","1.00","1.00","0.00","0.00","0.00","0.00","1.00","0.00","1.00","0.00","3.00","0.00","1.00","0.00","1.00","0.00","29.00","4.00"
"3","Araraquara","351685 Gavião Peixoto","14.00","1.00","45.00","2.00","153.00","18.00","79.00","26.00","160.00","44.00","89.00","24.00","63.00","0.00","25.00","0.00","7.00","0.00","24.00","0.00","18.00","0.00","20.00","3.00","697.00","118.00"
"15","São José do Rio Preto","351690 General Salgado","8.00","2.00","19.00","1.00","30.00","4.00","9.00","1.00","19.00","3.00","7.00","3.00","2.00","1.00","6.00","2.00","3.00","0.00","1.00","0.00","8.00","1.00","4.00","0.00","116.00","18.00"
"6","Bauru","351700 Getulina","18.00","1.00","17.00","0.00","68.00","7.00","53.00","10.00","34.00","9.00","8.00","1.00","3.00","0.00","11.00","1.00","4.00","0.00","10.00","4.00","80.00","39.00","87.00","63.00","393.00","135.00"
"2","Araçatuba","351710 Glicério","7.00","0.00","11.00","0.00","52.00","0.00","16.00","1.00","10.00","0.00","4.00","0.00","2.00","0.00","0.00","0.00","1.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","104.00","1.00"
"6","Bauru","351720 Guaiçara","41.00","22.00","33.00","18.00","102.00","45.00","165.00","105.00","118.00","97.00","56.00","32.00","7.00","1.00","10.00","0.00","10.00","1.00","5.00","2.00","13.00","1.00","8.00","2.00","568.00","326.00"
"9","Marília","351730 Guaimbê","6.00","1.00","29.00","24.00","64.00","52.00","27.00","23.00","8.00","8.00","1.00","0.00","2.00","1.00","2.00","0.00","0.00","0.00","0.00","0.00","3.00","0.00","2.00","0.00","144.00","109.00"
"5","Barretos","351740 Guaíra","47.00","3.00","101.00","24.00","345.00","131.00","688.00","345.00","496.00","254.00","176.00","79.00","92.00","28.00","99.00","39.00","75.00","29.00","94.00","26.00","73.00","29.00","68.00","20.00","2,354.00","1,007.00"
"15","São José do Rio Preto","351750 Guapiaçu","49.00","7.00","67.00","16.00","177.00","57.00","135.00","55.00","128.00","41.00","35.00","14.00","28.00","8.00","12.00","2.00","18.00","2.00","26.00","5.00","28.00","5.00","31.00","7.00","734.00","219.00"
"16","Sorocaba","351760 Guapiara","3.00","0.00","0.00","0.00","2.00","1.00","107.00","38.00","92.00","10.00","7.00","1.00","0.00","0.00","1.00","0.00","3.00","0.00","4.00","0.00","1.00","0.00","5.00","1.00","225.00","51.00"
"8","Franca","351770 Guará","1.00","0.00","5.00","0.00","10.00","2.00","14.00","2.00","17.00","6.00","2.00","1.00","4.00","2.00","1.00","0.00","1.00","0.00","3.00","0.00","1.00","1.00","1.00","1.00","60.00","15.00"
"2","Araçatuba","351780 Guaraçaí","11.00","1.00","23.00","3.00","52.00","16.00","74.00","38.00","39.00","16.00","6.00","3.00","3.00","0.00","1.00","0.00","3.00","1.00","3.00","1.00","2.00","0.00","14.00","0.00","231.00","79.00"
"5","Barretos","351790 Guaraci","5.00","0.00","1.00","0.00","6.00","1.00","9.00","1.00","46.00","20.00","4.00","1.00","0.00","0.00","3.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","2.00","0.00","77.00","23.00"
"15","São José do Rio Preto","351800 Guarani d'Oeste","0.00","0.00","14.00","10.00","11.00","6.00","1.00","0.00","2.00","1.00","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","29.00","17.00"
"9","Marília","351810 Guarantã","5.00","1.00","24.00","3.00","41.00","5.00","50.00","14.00","45.00","15.00","14.00","7.00","0.00","0.00","1.00","0.00","0.00","0.00","1.00","0.00","2.00","0.00","2.00","1.00","185.00","46.00"
"2","Araçatuba","351820 Guararapes","55.00","5.00","115.00","25.00","374.00","131.00","680.00","422.00","482.00","263.00","106.00","52.00","65.00","26.00","58.00","9.00","58.00","6.00","50.00","3.00","60.00","9.00","48.00","7.00","2,151.00","958.00"
"1","São Paulo","351830 Guararema","28.00","0.00","57.00","3.00","62.00","4.00","65.00","2.00","68.00","3.00","36.00","2.00","26.00","0.00","20.00","0.00","21.00","0.00","35.00","4.00","23.00","2.00","35.00","5.00","476.00","25.00"
"17","Taubaté","351840 Guaratinguetá","30.00","3.00","59.00","18.00","217.00","49.00","287.00","99.00","391.00","116.00","190.00","34.00","93.00","11.00","81.00","12.00","98.00","10.00","112.00","17.00","131.00","33.00","171.00","73.00","1,860.00","475.00"
"16","Sorocaba","351850 Guareí","0.00","0.00","0.00","0.00","7.00","4.00","11.00","10.00","15.00","7.00","2.00","1.00","0.00","0.00","1.00","0.00","1.00","0.00","4.00","0.00","0.00","0.00","0.00","0.00","41.00","22.00"
