Distribuição dos casos  autóctones de dengue segundo o município de residência, por semana epidemiológica de início de sintomas, ESP, 2024;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
DRS;;GVE;;RS;;MUNICÍPIO DE RESIDÊNCIA;SE 01;SE 02;SE 03;SE 04;SE 05;SE 06;SE 07;SE 08;SE 09;SE 10;SE 11;SE 12;SE 13;Total
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35153;JALES;355695 Vitória Brasil;0;0;0;0;1;0;1;0;0;0;0;0;0;2
16;SOROCABA;31;SOROCABA;35163;SOROCABA;355700 Votorantim;29;45;71;113;62;129;175;218;303;286;343;245;184;2203
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;355710 Votuporanga;81;90;143;169;208;230;210;203;179;147;165;193;52;2070
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35156;JOSÉ BONIFÁCIO;355715 Zacarias;0;1;0;0;0;1;0;0;0;0;0;0;0;2
9;MARÍLIA;13;ASSIS;35094;OURINHOS;355720 Chavantes;2;0;4;4;1;2;6;4;7;7;6;18;9;70
14;SÃO JOÃO DA BOA VISTA;26;SAO JOAO DA BOA VISTA;35141;BAIXA MOGIANA;355730 Estiva Gerbi;0;0;0;0;0;0;1;1;4;3;4;4;3;20
;;;;;;Total;5.806;8.311;12.315;17.767;21.030;28208;38628;47459;56841;63080;69909;82728;64105;516187
;;;;;;;;;;;;;;;;;;;;
Dados informados pelas Secretarias Municipais de Saúde no Sistema de Informação - SINAN , 15.04.2024;;;;;;;;;;;;;;;;;;;;
*SE (Semana Epidemiológica),  dados SE 01 até SE 13 de 2024 (31/12/2023 até 30/03/2024);;;;;;;;;;;;;;;;;;;;
