Distribuição dos casos  autóctones de dengue segundo o município de residência, por semana epidemiológica de início de sintomas, ESP, 2024;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
DRS;;GVE;;RS;;MUNICÍPIO DE RESIDÊNCIA;SE 01;SE 02;SE 03;SE 04;SE 05;SE 06;SE 07;SE 08;SE 09;SE 10;SE 11;SE 12;SE 13;Total
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35157;VOTUPORANGA;350180 Américo de Campos;0;2;2;0;0;2;5;2;7;2;2;3;4;31
7;CAMPINAS;17;CAMPINAS;35074;CIRCUITO DAS AGUAS;350190 Amparo;4;1;3;6;6;12;10;13;12;27;43;34;27;198
10;PIRACICABA;20;PIRACICABA;35104;RIO CLARO;350200 Analândia;1;2;1;6;10;31;44;51;60;63;81;73;58;481
2;ARAÇATUBA;11;ARACATUBA;35022;LAGOS DO DRS II;350210 Andradina;0;1;0;2;1;1;1;2;0;6;5;3;0;22
16;SOROCABA;31;SOROCABA;35161;ITAPETININGA;350220 Angatuba;0;0;0;0;0;0;4;4;9;8;12;24;35;96
6;BAURU;16;BOTUCATU;35063;POLO CUESTA;350230 Anhembi;0;0;0;0;0;1;1;0;0;7;7;5;7;28
11;PRESIDENTE PRUDENTE;21;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350240 Anhumas;0;0;0;0;0;0;0;2;0;0;0;0;1;3
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350250 Aparecida;0;0;4;6;14;14;32;44;32;25;29;28;23;251
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35153;JALES;350260 Aparecida d'Oeste;0;0;0;0;0;0;0;0;0;1;0;2;0;3
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;350270 Apiaí;0;0;0;1;0;0;1;1;5;8;2;12;18;48
16;SOROCABA;31;SOROCABA;35163;SOROCABA;350275 Araçariguama;1;3;9;5;1;4;10;8;27;13;28;32;29;170
2;ARAÇATUBA;11;ARACATUBA;35021;CENTRAL DO DRS II;350280 Araçatuba;5;5;3;10;6;14;25;29;21;22;20;24;20;204
16;SOROCABA;31;SOROCABA;35163;SOROCABA;350290 Araçoiaba da Serra;0;2;3;4;2;6;7;5;14;6;7;11;19;86
8;FRANCA;18;FRANCA;35083;ALTA MOGIANA;350300 Aramina;0;0;0;0;0;0;2;0;3;4;1;3;1;14
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;350310 Arandu;0;0;0;0;0;0;0;0;0;2;5;8;28;43
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350315 Arapeí;0;0;0;0;0;1;1;1;6;16;8;13;20;66
3;ARARAQUARA;12;ARARAQUARA;35031;CENTRAL DO DRS III;350320 Araraquara;6;8;20;14;15;22;27;32;34;36;57;85;58;414
10;PIRACICABA;20;PIRACICABA;35101;ARARAS;350330 Araras;1;0;4;9;5;8;20;20;24;39;50;38;34;252
9;MARÍLIA;19;MARILIA;35095;TUPÃ;350335 Arco-Íris;0;0;0;1;0;0;1;0;1;0;0;0;0;3
6;BAURU;15;BAURU;35062;BAURU;350340 Arealva;2;1;7;10;5;9;14;20;25;23;20;15;13;164
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350350 Areias;0;0;0;0;1;0;0;3;1;0;3;1;3;12
6;BAURU;16;BOTUCATU;35063;POLO CUESTA;350360 Areiópolis;1;0;0;1;1;1;1;11;7;11;25;43;36;138
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35151;CATANDUVA;350370 Ariranha;8;9;18;24;29;31;54;52;84;88;91;67;24;579
7;CAMPINAS;17;CAMPINAS;35072;REG METRO CAMPINAS;350380 Artur Nogueira;2;4;12;15;19;17;22;43;38;41;53;76;88;430
1;GRANDE SÃO PAULO;8;MOGI DAS CRUZES;35011;ALTO DO TIETÊ;350390 Arujá;3;1;3;7;11;17;31;37;43;34;59;56;12;314
15;SÃO JOSÉ DO RIO PRETO;30;JALES;35153;JALES;350395 Aspásia;0;0;0;0;1;0;0;0;0;0;1;0;0;2
9;MARÍLIA;13;ASSIS;35092;ASSIS;350400 Assis;25;31;70;64;67;93;87;37;6;1;4;18;215;718
7;CAMPINAS;17;CAMPINAS;35071;BRAGANÇA;350410 Atibaia;12;26;28;36;101;175;219;277;321;373;345;404;299;2616
2;ARAÇATUBA;11;ARACATUBA;35021;CENTRAL DO DRS II;350420 Auriflama;1;0;0;0;0;0;0;0;0;0;0;0;0;1
6;BAURU;15;BAURU;35062;BAURU;350430 Avaí;0;0;0;0;0;0;0;1;0;0;1;0;0;2
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;350440 Avanhandava;0;0;1;2;0;0;0;0;1;5;6;5;4;24
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;350450 Avaré;5;4;8;25;16;14;46;27;57;74;80;149;106;611
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;350460 Bady Bassitt;2;2;0;1;3;4;7;11;14;3;6;13;8;74
6;BAURU;15;BAURU;35062;BAURU;350470 Balbinos;0;0;0;0;0;0;0;0;1;1;8;2;1;13
15;SÃO JOSÉ DO RIO PRETO;29;SAO JOSE DO RIO PRETO;35155;SÃO JOSÉ DO RIO PRETO;350480 Bálsamo;0;1;1;1;2;2;0;4;3;5;4;2;0;25
17;TAUBATÉ;33;TAUBATE;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350490 Bananal;0;0;4;6;4;3;17;17;23;22;19;67;71;253
6;BAURU;16;BOTUCATU;35061;VALE DO JURUMIRIM;350500 Barão de Antonina;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;ARAÇATUBA;11;ARACATUBA;35023;CONSÓRCIOS DO DRS II;350510 Barbosa;0;0;0;0;0;0;0;1;0;1;0;0;0;2
6;BAURU;15;BAURU;35064;JAU;350520 Bariri;67;112;125;331;367;358;337;373;261;164;179;140;52;2866
6;BAURU;15;BAURU;35064;JAU;350530 Barra Bonita;1;1;1;3;7;3;3;8;8;12;6;18;6;77
16;SOROCABA;32;ITAPEVA;35162;ITAPEVA;350535 Barra do Chapéu;0;0;0;0;0;0;1;0;1;1;1;4;6;14
12;REGISTRO;23;REGISTRO;35121;VALE DO RIBEIRA;350540 Barra do Turvo;0;0;0;0;0;1;3;4;10;8;9;22;7;64
5;BARRETOS;14;BARRETOS;35051;NORTE-BARRETOS;350550 Barretos;2;4;10;22;24;49;76;76;97;112;144;170;110;896
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35131;HORIZONTE VERDE;350560 Barrinha;0;2;8;3;11;17;17;41;30;15;7;6;5;162
1;GRANDE SÃO PAULO;10;OSASCO;35014;ROTA DOS BANDEIRANTES;350570 Barueri;0;1;1;10;10;16;58;76;74;60;65;39;7;417
9;MARÍLIA;19;MARILIA;35095;TUPÃ;350580 Bastos;1;0;0;1;0;0;2;1;1;7;6;0;1;20
13;RIBEIRÃO PRETO;24;RIBEIRAO PRETO;35133;VALE DAS CACHOEIRAS;350590 Batatais;14;16;24;47;91;119;143;163;115;90;62;8;0;892
6;BAURU;15;BAURU;35062;BAURU;350600 Bauru;23;41;64;134;185;289;297;271;191;241;323;350;10;2419
5;BARRETOS;14;BARRETOS;35052;SUL-BARRETOS;350610 Bebedouro;41;122;298;258;332;321;530;488;359;101;22;17;14;2903
2;ARAÇATUBA;11;ARACATUBA;35021;CENTRAL DO DRS II;350620 Bento de Abreu;0;0;0;0;0;0;0;0;0;2;0;0;0;2
