DRS_id,DRS,Município,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Abril Notificados,Abril Confirmados,Maio Notificados,Maio Confirmados,Junho Notificados,Junho Confirmados,Julho Notificados,Julho Confirmados,Agosto Confirmados,Agosto Notificados,Setembro Confirmados,Setembro Notificados,Outubro Confirmados,Outubro Notificados,Novembro Confirmados,Novembro Notificados,Dezembro Confirmados,Total Notificados,Total Confirmados
6,Bauru,351540 Fartura,0,0,0,0,0,0,34,19,85,40,12,6,9,5,0,0,0,0,0,0,0,2,2,142,72
15,São José do Rio Preto,351550 Fernandópolis,58,15,82,59,196,181,268,249,230,216,155,137,71,42,7,36,3,59,1,47,3,24,1,"1,292",914
15,São José do Rio Preto,351560 Fernando Prestes,4,0,1,0,13,3,40,23,66,21,13,4,8,3,1,12,3,12,3,5,1,7,3,185,65
9,Marília,351565 Fernão,0,0,6,0,28,4,20,7,20,5,1,0,0,0,0,0,0,0,0,0,0,0,0,76,16
1,São Paulo,351570 Ferraz de Vasconcelos,9,3,8,1,30,7,155,45,220,100,52,33,17,2,1,10,0,11,2,13,0,3,0,541,194
11,Presidente Prudente,351580 Flora Rica,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
15,São José do Rio Preto,351590 Floreal,9,6,44,29,154,104,148,100,71,47,8,7,4,2,0,0,0,0,0,0,0,0,0,439,295
9,Marília,351600 Flórida Paulista,8,3,10,2,20,14,124,81,105,74,40,23,22,13,10,5,0,2,1,7,3,6,4,365,228
9,Marília,351610 Florínia,1,1,6,0,4,0,13,1,0,0,2,0,5,2,1,1,0,0,0,0,0,0,0,35,5
8,Franca,351620 Franca,85,54,593,478,"3,381","2,754","2,711","2,052","2,175","1,465",386,177,118,32,18,33,6,31,9,29,9,61,19,"9,664","7,073"
1,São Paulo,351630 Francisco Morato,12,1,9,1,27,6,72,25,79,17,35,0,9,1,1,10,0,15,0,4,0,5,0,282,52
1,São Paulo,351640 Franco da Rocha,5,0,10,0,33,9,95,26,101,27,36,12,24,4,0,15,3,15,1,17,0,19,2,391,84
2,Araçatuba,351650 Gabriel Monteiro,54,53,91,91,193,173,103,101,42,42,13,13,4,3,0,0,0,0,0,0,0,0,0,500,476
9,Marília,351660 Gália,10,8,53,41,192,149,118,85,39,20,0,0,0,0,1,2,0,0,0,1,0,4,1,420,305
9,Marília,351670 Garça,79,31,266,190,"2,734","2,497","3,659","3,434","1,583","1,495",250,214,95,69,33,16,12,45,28,78,18,77,21,"8,926","8,042"
15,São José do Rio Preto,351680 Gastão Vidigal,102,85,176,126,94,75,12,9,2,0,0,0,0,0,0,1,0,0,0,1,1,2,0,390,296
3,Araraquara,351685 Gavião Peixoto,3,0,1,0,24,0,213,60,196,89,81,24,96,3,3,14,2,9,0,7,0,9,0,670,181
15,São José do Rio Preto,351690 General Salgado,39,26,149,118,546,474,466,431,151,131,23,14,2,2,3,3,0,6,1,3,1,2,0,"1,393","1,201"
6,Bauru,351700 Getulina,3,1,5,1,15,6,57,5,57,13,24,2,17,2,0,40,1,15,1,12,0,7,0,257,32
2,Araçatuba,351710 Glicério,3,3,5,2,96,59,262,142,257,104,46,18,16,2,2,6,0,0,0,0,0,0,0,702,332
6,Bauru,351720 Guaiçara,3,0,9,4,17,9,53,33,74,33,21,7,8,3,1,6,0,1,0,4,1,10,7,210,98
9,Marília,351730 Guaimbê,11,1,5,0,27,13,87,59,50,29,17,11,13,3,6,4,1,13,2,6,0,4,1,253,126
5,Barretos,351740 Guaíra,18,0,15,1,53,26,191,101,262,137,181,79,125,51,30,43,9,47,7,44,6,37,7,"1,100",454
15,São José do Rio Preto,351750 Guapiaçu,41,13,45,19,167,85,587,278,270,129,70,20,24,4,2,18,4,17,6,19,5,21,7,"1,290",572
16,Sorocaba,351760 Guapiara,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,5,0
8,Franca,351770 Guará,0,0,0,0,1,0,9,0,5,1,5,0,2,0,0,1,0,1,0,1,0,1,0,30,1
2,Araçatuba,351780 Guaraçaí,8,3,114,62,608,380,780,607,304,234,55,38,9,4,8,17,2,17,0,10,0,17,2,"1,954","1,340"
5,Barretos,351790 Guaraci,178,99,45,36,19,12,7,2,7,1,3,1,0,0,0,2,0,3,2,0,0,1,0,265,153
15,São José do Rio Preto,351800 Guarani d'Oeste,0,0,0,0,1,0,9,4,2,0,0,0,1,1,0,0,0,5,5,12,8,27,23,58,41
9,Marília,351810 Guarantã,39,5,8,1,7,1,23,6,13,2,20,2,2,0,0,1,0,1,1,0,0,1,0,116,18
2,Araçatuba,351820 Guararapes,30,8,25,10,157,86,414,279,440,262,204,86,126,44,17,48,6,54,5,53,3,37,3,"1,662",809
1,São Paulo,351830 Guararema,28,0,16,0,26,2,47,4,81,7,68,1,27,0,0,34,1,57,0,43,0,16,0,466,15
17,Taubaté,351840 Guaratinguetá,16,3,11,4,22,9,35,4,49,5,40,8,21,2,4,18,0,31,5,15,2,16,4,294,50
16,Sorocaba,351850 Guareí,0,0,0,0,1,0,5,0,3,1,0,0,0,0,0,2,0,0,0,3,0,0,0,15,1
13,Riberão Preto,351860 Guariba,9,0,19,12,109,76,332,294,592,473,198,182,13,7,1,0,0,1,0,2,0,1,1,"1,278","1,046"
4,Baixada Santista,351870 Guarujá,37,9,17,3,23,6,41,11,57,15,34,3,23,4,2,36,1,36,8,48,9,89,10,477,81
1,São Paulo,351880 Guarulhos,177,25,109,24,221,93,831,378,836,370,304,59,191,20,11,99,6,120,11,126,28,155,23,"3,309","1,048"
13,Riberão Preto,351885 Guatapará,5,0,2,0,6,0,15,7,43,4,42,7,35,7,0,11,0,18,2,24,4,72,24,288,55
2,Araçatuba,351890 Guzolândia,0,0,11,9,37,31,26,21,20,17,9,5,1,1,0,0,0,2,0,1,0,1,1,109,85
9,Marília,351900 Herculândia,6,4,2,2,31,19,90,61,128,88,58,35,27,17,7,5,3,9,1,4,1,4,1,376,239
7,Campinas,351905 Holambra,16,1,10,1,46,12,191,59,200,42,93,7,52,0,1,17,0,24,2,17,0,19,0,715,125
