DRS_id,DRS,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Total Notificados,Total Confirmados,id_municipio,nome_municipio
13.0,RIBEIRÃO PRETO,10.00,1,37,1,89,5,136,7,352760,Luís Antônio
2.0,ARAÇATUBA,0.00,0,7,3,13,10,20,13,352770,Luiziânia
9.0,MARÍLIA,5.00,2,31,5,25,12,61,19,352780,Lupércio
9.0,MARÍLIA,4.00,0,16,2,10,0,30,2,352790,Lutécia
6.0,BAURU,22.00,15,80,57,217,191,319,263,352800,Macatuba
15.0,SÃO JOSÉ DO RIO PRETO,9.00,0,9,0,8,1,26,1,352810,Macaubal
15.0,SÃO JOSÉ DO RIO PRETO,3.00,0,2,0,8,0,13,0,352820,Macedônia
15.0,SÃO JOSÉ DO RIO PRETO,0.00,0,9,0,4,0,13,0,352830,Magda
16.0,SOROCABA,19.00,3,175,42,527,171,721,216,352840,Mairinque
1.0,GRANDE SÃO PAULO,315.00,88,1521,1211,2739,235,4575,1534,352850,Mairiporã
6.0,BAURU,92.00,34,99,74,265,246,456,354,352860,Manduri
11.0,PRESIDENTE PRUDENTE,6.00,1,17,2,33,13,56,16,352870,Marabá Paulista
9.0,MARÍLIA,11.00,0,87,33,150,88,248,121,352880,Maracaí
15.0,SÃO JOSÉ DO RIO PRETO,2.00,0,24,1,30,3,56,4,352885,Marapoama
9.0,MARÍLIA,7.00,0,28,1,25,0,60,1,352890,Mariápolis
9.0,MARÍLIA,"1,790.00",1042,4881,1802,7107,1808,13778,4652,352900,Marília
15.0,SÃO JOSÉ DO RIO PRETO,13.00,6,31,6,20,3,64,15,352910,Marinópolis
11.0,PRESIDENTE PRUDENTE,15.00,2,60,18,49,17,124,37,352920,Martinópolis
3.0,ARARAQUARA,86.00,24,440,88,796,255,1322,367,352930,Matão
1.0,GRANDE SÃO PAULO,385.00,98,1921,810,3726,2344,6032,3252,352940,Mauá
15.0,SÃO JOSÉ DO RIO PRETO,19.00,2,25,4,73,5,117,11,352950,Mendonça
15.0,SÃO JOSÉ DO RIO PRETO,3.00,0,11,0,26,9,40,9,352960,Meridiano
15.0,SÃO JOSÉ DO RIO PRETO,0.00,0,5,3,41,21,46,24,352965,Mesópolis
8.0,FRANCA,3.00,2,11,8,2,2,16,12,352970,Miguelópolis
6.0,BAURU,73.00,44,610,479,1400,1109,2083,1632,352980,Mineiros do Tietê
12.0,REGISTRO,16.00,2,80,14,182,5,278,21,352990,Miracatu
15.0,SÃO JOSÉ DO RIO PRETO,3.00,0,12,8,36,5,51,13,353000,Mira Estrela
2.0,ARAÇATUBA,55.00,19,97,12,109,22,261,53,353010,Mirandópolis
11.0,PRESIDENTE PRUDENTE,13.00,0,52,1,75,5,140,6,353020,Mirante do Paranapanema
15.0,SÃO JOSÉ DO RIO PRETO,94.00,17,292,44,293,21,679,82,353030,Mirassol
15.0,SÃO JOSÉ DO RIO PRETO,9.00,3,33,15,57,24,99,42,353040,Mirassolândia
14.0,SÃO JOÃO DA BOA VISTA,212.00,136,798,517,1333,818,2343,1471,353050,Mococa
1.0,GRANDE SÃO PAULO,468.00,150,3527,915,5483,1263,9478,2328,353060,Mogi das Cruzes
14.0,SÃO JOÃO DA BOA VISTA,375.00,51,1259,181,573,322,2207,554,353070,Mogi Guaçu
14.0,SÃO JOÃO DA BOA VISTA,159.00,32,273,224,232,208,664,464,353080,Mogi Mirim
10.0,PIRACICABA,3.00,1,13,3,10,5,26,9,353090,Mombuca
15.0,SÃO JOSÉ DO RIO PRETO,2.00,1,2,0,6,2,10,3,353100,Monções
4.0,BAIXADA SANTISTA,28.00,7,141,23,685,116,854,146,353110,Mongaguá
7.0,CAMPINAS,1.00,1,12,1,49,16,62,18,353120,Monte Alegre do Sul
13.0,RIBEIRÃO PRETO,99.00,64,330,145,469,250,898,459,353130,Monte Alto
15.0,SÃO JOSÉ DO RIO PRETO,17.00,5,54,16,59,7,130,28,353140,Monte Aprazível
5.0,BARRETOS,312.00,261,207,162,164,149,683,572,353150,Monte Azul Paulista
11.0,PRESIDENTE PRUDENTE,7.00,1,18,1,32,7,57,9,353160,Monte Castelo
17.0,TAUBATÉ,3.00,1,20,2,51,15,74,18,353170,Monteiro Lobato
7.0,CAMPINAS,39.00,16,184,111,674,570,897,697,353180,Monte Mor
8.0,FRANCA,110.00,5,244,17,127,36,481,58,353190,Morro Agudo
7.0,CAMPINAS,26.00,9,103,22,160,45,289,76,353200,Morungaba
3.0,ARARAQUARA,2.00,1,5,0,13,5,20,6,353205,Motuca
2.0,ARAÇATUBA,1.00,0,5,0,4,0,10,0,353210,Murutinga do Sul
11.0,PRESIDENTE PRUDENTE,5.00,1,25,2,21,12,51,15,353215,Nantes
11.0,PRESIDENTE PRUDENTE,10.00,0,29,0,27,0,66,0,353220,Narandiba
17.0,TAUBATÉ,6.00,0,15,1,64,21,85,22,353230,Natividade da Serra
7.0,CAMPINAS,7.00,1,27,4,9,1,43,6,353240,Nazaré Paulista
15.0,SÃO JOSÉ DO RIO PRETO,77.00,3,256,11,281,11,614,25,353250,Neves Paulista
15.0,SÃO JOSÉ DO RIO PRETO,4.00,1,27,4,29,6,60,11,353260,Nhandeara
15.0,SÃO JOSÉ DO RIO PRETO,3.00,1,10,1,1,0,14,2,353270,Nipoã
15.0,SÃO JOSÉ DO RIO PRETO,22.00,1,30,3,53,5,105,9,353280,Nova Aliança
16.0,SOROCABA,3.00,0,3,2,22,14,28,16,353282,Nova Campina
15.0,SÃO JOSÉ DO RIO PRETO,1.00,0,7,0,5,0,13,0,353284,Nova Canaã Paulista
2.0,ARAÇATUBA,0.00,0,0,0,1,1,1,1,353286,Nova Castilho
3.0,ARARAQUARA,9.00,1,43,14,57,18,109,33,353290,Nova Europa
15.0,SÃO JOSÉ DO RIO PRETO,83.00,4,78,11,83,9,244,24,353300,Nova Granada
11.0,PRESIDENTE PRUDENTE,2.00,0,14,8,13,5,29,13,353310,Nova Guataporanga
2.0,ARAÇATUBA,18.00,1,34,4,30,6,82,11,353320,Nova Independência
15.0,SÃO JOSÉ DO RIO PRETO,9.00,2,27,7,49,11,85,20,353325,Novais
2.0,ARAÇATUBA,1.00,0,6,0,6,1,13,1,353330,Nova Luzitânia
7.0,CAMPINAS,93.00,34,471,286,1339,1080,1903,1400,353340,Nova Odessa
15.0,SÃO JOSÉ DO RIO PRETO,124.00,18,375,56,498,163,997,237,353350,Novo Horizonte
8.0,FRANCA,27.00,18,70,31,91,49,188,98,353360,Nuporanga
9.0,MARÍLIA,31.00,13,52,9,69,16,152,38,353370,Ocauçu
9.0,MARÍLIA,2.00,0,5,3,43,30,50,33,353380,Óleo
5.0,BARRETOS,648.00,346,1264,537,1887,636,3799,1519,353390,Olímpia
15.0,SÃO JOSÉ DO RIO PRETO,44.00,15,106,47,77,19,227,81,353400,Onda Verde
9.0,MARÍLIA,14.00,6,95,29,77,38,186,73,353410,Oriente
15.0,SÃO JOSÉ DO RIO PRETO,38.00,3,65,11,59,14,162,28,353420,Orindiúva
8.0,FRANCA,78.00,9,175,18,174,37,427,64,353430,Orlândia
1.0,GRANDE SÃO PAULO,735.00,433,3088,2061,5130,2759,8953,5253,353440,Osasco
9.0,MARÍLIA,7.00,4,22,9,26,2,55,15,353450,Oscar Bressane
9.0,MARÍLIA,26.00,13,144,70,167,110,337,193,353460,Osvaldo Cruz
9.0,MARÍLIA,202.00,107,624,238,1038,291,1864,636,353470,Ourinhos
15.0,SÃO JOSÉ DO RIO PRETO,84.00,21,127,35,124,35,335,91,353475,Ouroeste
11.0,PRESIDENTE PRUDENTE,11.00,2,26,1,35,2,72,5,353480,Ouro Verde
9.0,MARÍLIA,4.00,2,11,10,10,9,25,21,353490,Pacaembu
15.0,SÃO JOSÉ DO RIO PRETO,82.00,7,196,12,125,6,403,25,353500,Palestina
15.0,SÃO JOSÉ DO RIO PRETO,491.00,377,353,142,261,9,1105,528,353510,Palmares Paulista
15.0,SÃO JOSÉ DO RIO PRETO,14.00,3,60,25,55,8,129,36,353520,Palmeira d'Oeste
9.0,MARÍLIA,42.00,8,104,21,154,67,300,96,353530,Palmital
11.0,PRESIDENTE PRUDENTE,27.00,3,74,10,42,4,143,17,353540,Panorama
9.0,MARÍLIA,88.00,21,330,108,647,128,1065,257,353550,Paraguaçu Paulista
17.0,TAUBATÉ,50.00,5,238,27,247,27,535,59,353560,Paraibuna
15.0,SÃO JOSÉ DO RIO PRETO,180.00,127,147,80,165,28,492,235,353570,Paraíso
6.0,BAURU,2.00,0,24,1,76,19,102,20,353580,Paranapanema
15.0,SÃO JOSÉ DO RIO PRETO,9.00,3,14,4,23,8,46,15,353590,Paranapuã
9.0,MARÍLIA,37.00,4,125,17,116,22,278,43,353600,Parapuã
6.0,BAURU,6.00,2,3,1,19,7,28,10,353610,Pardinho
12.0,REGISTRO,7.00,2,26,10,360,50,393,62,353620,PariqueraÁAçu
15.0,SÃO JOSÉ DO RIO PRETO,13.00,4,55,22,116,65,184,91,353625,Parisi
8.0,FRANCA,9.00,1,157,100,143,49,309,150,353630,Patrocínio Paulista
11.0,PRESIDENTE PRUDENTE,5.00,3,23,15,10,0,38,18,353640,Paulicéia
7.0,CAMPINAS,438.00,206,959,467,1285,791,2682,1464,353650,Paulínia
6.0,BAURU,0.00,0,1,0,12,8,13,8,353657,Paulistânia
15.0,SÃO JOSÉ DO RIO PRETO,126.00,36,319,144,529,232,974,412,353660,Paulo de Faria
6.0,BAURU,"1,345.00",1084,1316,986,849,412,3510,2482,353670,Pederneiras
7.0,CAMPINAS,4.00,0,25,7,40,11,69,18,353680,Pedra Bela
15.0,SÃO JOSÉ DO RIO PRETO,2.00,0,7,1,18,2,27,3,353690,Pedranópolis
8.0,FRANCA,341.00,85,255,61,41,13,637,159,353700,Pedregulho
7.0,CAMPINAS,41.00,12,245,83,642,145,928,240,353710,Pedreira
9.0,MARÍLIA,14.00,0,43,8,79,27,136,35,353715,Pedrinhas Paulista
12.0,REGISTRO,2.00,0,8,0,5,0,15,0,353720,Pedro de Toledo
2.0,ARAÇATUBA,20.00,2,50,8,63,7,133,17,353730,Penápolis
2.0,ARAÇATUBA,15.00,1,42,7,68,24,125,32,353740,Pereira Barreto
6.0,BAURU,2.00,0,4,4,5,2,11,6,353750,Pereiras
4.0,BAIXADA SANTISTA,100.00,15,455,100,691,327,1246,442,353760,Peruíbe
2.0,ARAÇATUBA,3.00,2,5,4,3,2,11,8,353770,Piacatu
16.0,SOROCABA,21.00,3,163,14,247,67,431,84,353780,Piedade
16.0,SOROCABA,11.00,4,17,7,31,16,59,27,353790,Pilar do Sul
17.0,TAUBATÉ,"3,146.00",3089,5094,4999,1443,1371,9683,9459,353800,Pindamonhangaba
15.0,SÃO JOSÉ DO RIO PRETO,91.00,35,161,76,266,130,518,241,353810,Pindorama
7.0,CAMPINAS,16.00,4,80,7,327,6,423,17,353820,Pinhalzinho
11.0,PRESIDENTE PRUDENTE,2.00,0,16,0,18,2,36,2,353830,Piquerobi
17.0,TAUBATÉ,51.00,10,390,101,514,205,955,316,353850,Piquete
7.0,CAMPINAS,20.00,3,107,8,351,0,478,11,353860,Piracaia
10.0,PIRACICABA,"2,967.00",1120,6463,1802,10653,4496,20083,7418,353870,Piracicaba
6.0,BAURU,31.00,13,171,68,599,333,801,414,353880,Piraju
6.0,BAURU,20.00,1,51,4,27,4,98,9,353890,Pirajuí
15.0,SÃO JOSÉ DO RIO PRETO,51.00,28,218,139,328,138,597,305,353900,Pirangi
1.0,GRANDE SÃO PAULO,7.00,0,97,9,64,16,168,25,353910,Pirapora do Bom Jesus
11.0,PRESIDENTE PRUDENTE,41.00,4,82,5,119,14,242,23,353920,Pirapozinho
10.0,PIRACICABA,318.00,220,777,565,1553,1032,2648,1817,353930,Pirassununga
6.0,BAURU,6.00,0,24,9,34,10,64,19,353940,Piratininga
13.0,RIBEIRÃO PRETO,87.00,13,332,42,331,84,750,139,353950,Pitangueiras
15.0,SÃO JOSÉ DO RIO PRETO,18.00,6,54,10,40,2,112,18,353960,Planalto
9.0,MARÍLIA,16.00,3,62,22,37,18,115,43,353970,Platina
1.0,GRANDE SÃO PAULO,202.00,77,971,225,1091,27,2264,329,353980,Poá
15.0,SÃO JOSÉ DO RIO PRETO,13.00,0,18,0,13,0,44,0,353990,Poloni
9.0,MARÍLIA,22.00,20,26,24,115,105,163,149,354000,Pompéia
6.0,BAURU,73.00,53,30,25,31,16,134,94,354010,Pongaí
13.0,RIBEIRÃO PRETO,164.00,33,347,91,299,147,810,271,354020,Pontal
15.0,SÃO JOSÉ DO RIO PRETO,1.00,0,10,1,19,2,30,3,354025,Pontalinda
15.0,SÃO JOSÉ DO RIO PRETO,7.00,1,19,2,74,10,100,13,354030,Pontes Gestal
15.0,SÃO JOSÉ DO RIO PRETO,7.00,3,26,16,12,11,45,30,354040,Populina
6.0,BAURU,6.00,0,48,0,133,19,187,19,354050,Porangaba
16.0,SOROCABA,140.00,20,542,55,1127,199,1809,274,354060,Porto Feliz
3.0,ARARAQUARA,81.00,18,467,78,626,228,1174,324,354070,Porto Ferreira
17.0,TAUBATÉ,96.00,56,388,245,472,160,956,461,354075,Potim
15.0,SÃO JOSÉ DO RIO PRETO,17.00,4,34,7,62,5,113,16,354080,Potirendaba
9.0,MARÍLIA,1.00,0,7,0,4,0,12,0,354085,Pracinha
13.0,RIBEIRÃO PRETO,17.00,5,34,5,25,9,76,19,354090,Pradópolis
4.0,BAIXADA SANTISTA,119.00,49,385,158,243,75,747,282,354100,Praia Grande
6.0,BAURU,8.00,0,47,3,87,20,142,23,354105,Pratânia
6.0,BAURU,3.00,0,22,5,7,0,32,5,354110,Presidente Alves
11.0,PRESIDENTE PRUDENTE,10.00,0,38,4,52,2,100,6,354120,Presidente Bernardes
11.0,PRESIDENTE PRUDENTE,4.00,0,30,7,35,7,69,14,354130,Presidente Epitácio
11.0,PRESIDENTE PRUDENTE,944.00,11,2220,26,1993,51,5157,88,354140,Presidente Prudente
11.0,PRESIDENTE PRUDENTE,24.00,3,54,5,46,9,124,17,354150,Presidente Venceslau
6.0,BAURU,24.00,6,143,10,137,11,304,27,354160,Promissão
16.0,SOROCABA,1.00,0,0,0,1,0,2,0,354165,Quadra
11.0,PRESIDENTE PRUDENTE,6.00,0,69,6,67,10,142,16,354170,Quatá
9.0,MARÍLIA,1.00,0,50,14,29,2,80,16,354180,Queiroz
17.0,TAUBATÉ,12.00,1,77,6,150,15,239,22,354190,Queluz
9.0,MARÍLIA,17.00,2,45,2,35,2,97,6,354200,Quintana
10.0,PIRACICABA,34.00,16,153,93,502,316,689,425,354210,Rafard
11.0,PRESIDENTE PRUDENTE,27.00,5,45,9,119,34,191,48,354220,Rancharia
17.0,TAUBATÉ,5.00,0,37,10,114,52,156,62,354230,Redenção da Serra
11.0,PRESIDENTE PRUDENTE,34.00,0,100,5,96,9,230,14,354240,Regente Feijó
6.0,BAURU,53.00,19,262,127,415,220,730,366,354250,Reginópolis
12.0,REGISTRO,202.00,40,631,217,1909,336,2742,593,354260,Registro
8.0,FRANCA,83.00,70,143,119,81,73,307,262,354270,Restinga
16.0,SOROCABA,0.00,0,0,0,8,5,8,5,354280,Ribeira
3.0,ARARAQUARA,11.00,5,124,44,148,82,283,131,354290,Ribeirão Bonito
16.0,SOROCABA,0.00,0,7,1,18,0,25,1,354300,Ribeirão Branco
8.0,FRANCA,72.00,13,92,18,77,9,241,40,354310,Ribeirão Corrente
9.0,MARÍLIA,13.00,3,38,4,4,1,55,8,354320,Ribeirão do Sul
11.0,PRESIDENTE PRUDENTE,1.00,1,2,0,5,1,8,2,354323,Ribeirão dos Ándios
16.0,SOROCABA,3.00,0,32,0,79,5,114,5,354325,Ribeirão Grande
1.0,GRANDE SÃO PAULO,75.00,5,323,30,399,97,797,132,354330,Ribeirão Pires
13.0,RIBEIRÃO PRETO,"4,660.00",2994,8626,5947,10721,4775,24007,13716,354340,Ribeirão Preto
16.0,SOROCABA,5.00,0,47,28,263,99,315,127,354350,Riversul
8.0,FRANCA,18.00,3,24,1,99,26,141,30,354360,Rifaina
3.0,ARARAQUARA,15.00,1,101,9,121,24,237,34,354370,Rincão
9.0,MARÍLIA,18.00,3,26,4,5,0,49,7,354380,Rinópolis
10.0,PIRACICABA,262.00,35,592,232,948,588,1802,855,354390,Rio Claro
10.0,PIRACICABA,30.00,7,132,25,274,64,436,96,354400,Rio das Pedras
1.0,GRANDE SÃO PAULO,25.00,1,179,16,175,7,379,24,354410,Rio Grande da Serra
15.0,SÃO JOSÉ DO RIO PRETO,15.00,2,61,5,97,18,173,25,354420,Riolândia
11.0,PRESIDENTE PRUDENTE,25.00,1,66,15,72,7,163,23,354425,Rosana
17.0,TAUBATÉ,143.00,52,346,97,348,161,837,310,354430,Roseira
2.0,ARAÇATUBA,1.00,1,10,6,4,3,15,10,354440,Rubiácea
15.0,SÃO JOSÉ DO RIO PRETO,0.00,0,15,2,19,3,34,5,354450,Rubinéia
6.0,BAURU,5.00,2,7,1,16,13,28,16,354460,Sabino
9.0,MARÍLIA,7.00,5,6,3,17,9,30,17,354470,Sagres
15.0,SÃO JOSÉ DO RIO PRETO,139.00,111,103,87,60,57,302,255,354480,Sales
8.0,FRANCA,13.00,0,48,10,36,6,97,16,354490,Sales Oliveira
1.0,GRANDE SÃO PAULO,4.00,0,52,3,172,5,228,8,354500,Salesópolis
9.0,MARÍLIA,4.00,2,23,6,13,4,40,12,354510,Salmourão
10.0,PIRACICABA,22.00,6,127,23,494,226,643,255,354515,Saltinho
16.0,SOROCABA,241.00,49,901,185,1651,571,2793,805,354520,Salto
16.0,SOROCABA,45.00,2,433,31,631,180,1109,213,354530,Salto de Pirapora
9.0,MARÍLIA,9.00,2,30,2,23,1,62,5,354540,Salto Grande
11.0,PRESIDENTE PRUDENTE,5.00,0,7,0,14,5,26,5,354550,Sandovalina
15.0,SÃO JOSÉ DO RIO PRETO,34.00,13,95,34,126,30,255,77,354560,Santa Adélia
15.0,SÃO JOSÉ DO RIO PRETO,3.00,1,7,1,8,1,18,3,354570,Santa Albertina
7.0,CAMPINAS,313.00,121,1024,445,1835,684,3172,1250,354580,Santa Bárbara d'Oeste
17.0,TAUBATÉ,58.00,25,638,219,1392,275,2088,519,354600,Santa Branca
15.0,SÃO JOSÉ DO RIO PRETO,3.00,0,12,0,4,0,19,0,354610,Santa Clara d'Oeste
10.0,PIRACICABA,6.00,1,16,2,40,17,62,20,354620,Santa Cruz da Conceição
13.0,RIBEIRÃO PRETO,16.00,0,56,0,123,48,195,48,354625,Santa Cruz da Esperança
14.0,SÃO JOÃO DA BOA VISTA,317.00,241,782,574,455,343,1554,1158,354630,Santa Cruz das Palmeiras
9.0,MARÍLIA,81.00,26,180,76,462,265,723,367,354640,Santa Cruz do Rio Pardo
3.0,ARARAQUARA,24.00,3,45,1,15,3,84,7,354650,Santa Ernestina
15.0,SÃO JOSÉ DO RIO PRETO,30.00,10,66,9,69,11,165,30,354660,Santa Fé do Sul
10.0,PIRACICABA,79.00,14,299,90,250,230,628,334,354670,Santa Gertrudes
1.0,GRANDE SÃO PAULO,173.00,57,569,208,1592,379,2334,644,354680,Santa Isabel
3.0,ARARAQUARA,7.00,0,45,1,19,2,71,3,354690,Santa Lúcia
10.0,PIRACICABA,9.00,2,64,4,91,18,164,24,354700,Santa Maria da Serra
11.0,PRESIDENTE PRUDENTE,4.00,3,3,0,9,2,16,5,354710,Santa Mercedes
15.0,SÃO JOSÉ DO RIO PRETO,1.00,0,11,1,8,0,20,1,354720,Santana da Ponte Pensa
1.0,GRANDE SÃO PAULO,154.00,38,1081,224,1754,1259,2989,1521,354730,Santana de Parnaíba
15.0,SÃO JOSÉ DO RIO PRETO,0.00,0,14,1,4,1,18,2,354740,Santa Rita d'Oeste
13.0,RIBEIRÃO PRETO,6.00,3,62,33,107,89,175,125,354750,Santa Rita do Passa Quatro
13.0,RIBEIRÃO PRETO,29.00,6,60,16,131,42,220,64,354760,Santa Rosa de Viterbo
15.0,SÃO JOSÉ DO RIO PRETO,8.00,0,9,0,7,0,24,0,354765,Santa Salete
11.0,PRESIDENTE PRUDENTE,10.00,1,52,8,90,6,152,15,354770,Santo Anastácio
1.0,GRANDE SÃO PAULO,376.00,141,1104,589,2361,1697,3841,2427,354780,Santo André
13.0,RIBEIRÃO PRETO,14.00,12,34,29,43,39,91,80,354790,Santo Antônio da Alegria
7.0,CAMPINAS,53.00,18,374,178,1029,109,1456,305,354800,Santo Antônio de Posse
2.0,ARAÇATUBA,11.00,1,21,2,31,3,63,6,354805,Santo Antônio do Aracanguá
14.0,SÃO JOÃO DA BOA VISTA,17.00,11,103,56,154,119,274,186,354810,Santo Antônio do Jardim
17.0,TAUBATÉ,6.00,0,30,1,47,3,83,4,354820,Santo Antônio do Pinhal
11.0,PRESIDENTE PRUDENTE,0.00,0,12,2,11,0,23,2,354830,Santo Expedito
2.0,ARAÇATUBA,7.00,0,23,1,28,2,58,3,354840,Santópolis do Aguapeí
4.0,BAIXADA SANTISTA,397.00,239,1127,586,1145,423,2669,1248,354850,Santos
17.0,TAUBATÉ,1.00,0,68,20,172,106,241,126,354860,São Bento do Sapucaí
1.0,GRANDE SÃO PAULO,461.00,69,1870,369,1245,665,3576,1103,354870,São Bernardo do Campo
1.0,GRANDE SÃO PAULO,127.00,54,915,557,1825,1230,2867,1841,354880,São Caetano do Sul
3.0,ARARAQUARA,440.00,61,1213,447,2319,548,3972,1056,354890,São Carlos
15.0,SÃO JOSÉ DO RIO PRETO,6.00,1,30,0,44,3,80,4,354900,São Francisco
14.0,SÃO JOÃO DA BOA VISTA,253.00,133,1339,888,1178,1074,2770,2095,354910,São João da Boa Vista
15.0,SÃO JOSÉ DO RIO PRETO,3.00,0,9,0,8,0,20,0,354920,São João das Duas Pontes
15.0,SÃO JOSÉ DO RIO PRETO,2.00,0,8,0,3,0,13,0,354925,São João de Iracema
11.0,PRESIDENTE PRUDENTE,8.00,4,9,4,40,13,57,21,354930,São João do Pau d'Alho
8.0,FRANCA,208.00,15,426,39,333,66,967,120,354940,São Joaquim da Barra
8.0,FRANCA,31.00,17,17,9,5,1,53,27,354950,São José da Bela Vista
17.0,TAUBATÉ,6.00,1,54,27,92,49,152,77,354960,São José do Barreiro
14.0,SÃO JOÃO DA BOA VISTA,103.00,34,981,236,2336,261,3420,531,354970,São José do Rio Pardo
15.0,SÃO JOSÉ DO RIO PRETO,"2,024.00",1080,4673,2512,4256,763,10953,4355,354980,São José do Rio Preto
17.0,TAUBATÉ,"4,092.00",824,14322,4873,34833,17216,53247,22913,354990,São José dos Campos
1.0,GRANDE SÃO PAULO,6.00,3,46,10,51,10,103,23,354995,São Lourenço da Serra
17.0,TAUBATÉ,17.00,0,41,8,105,15,163,23,355000,São Luiz do Paraitinga
6.0,BAURU,491.00,343,1125,688,1549,1087,3165,2118,355010,São Manuel
16.0,SOROCABA,6.00,3,77,5,199,40,282,48,355020,São Miguel Arcanjo
1.0,GRANDE SÃO PAULO,"23,693.00",8061,112842,36699,208038,107805,344573,152565,355030,São Paulo
10.0,PIRACICABA,38.00,6,203,65,264,104,505,175,355040,São Pedro
9.0,MARÍLIA,15.00,0,51,3,122,28,188,31,355050,São Pedro do Turvo
16.0,SOROCABA,32.00,0,310,33,647,77,989,110,355060,São Roque
17.0,TAUBATÉ,429.00,88,1592,414,2715,1145,4736,1647,355070,São Sebastião
14.0,SÃO JOÃO DA BOA VISTA,3.00,0,60,4,276,97,339,101,355080,São Sebastião da Grama
13.0,RIBEIRÃO PRETO,21.00,0,87,7,83,14,191,21,355090,São Simão
4.0,BAIXADA SANTISTA,132.00,46,506,172,533,181,1171,399,355100,São Vicente
16.0,SOROCABA,12.00,1,107,3,132,20,251,24,355110,Sarapuí
6.0,BAURU,14.00,6,68,17,115,53,197,76,355120,Sarutaiá
15.0,SÃO JOSÉ DO RIO PRETO,18.00,0,9,1,18,1,45,2,355130,Sebastianópolis do Sul
13.0,RIBEIRÃO PRETO,54.00,1,183,12,214,45,451,58,355140,Serra Azul
13.0,RIBEIRÃO PRETO,153.00,101,1136,800,2194,1990,3483,2891,355150,Serrana
7.0,CAMPINAS,19.00,6,100,15,141,30,260,51,355160,Serra Negra
13.0,RIBEIRÃO PRETO,177.00,17,843,63,697,165,1717,245,355170,Sertãozinho
12.0,REGISTRO,115.00,68,185,91,244,111,544,270,355180,Sete Barras
5.0,BARRETOS,20.00,1,64,6,105,19,189,26,355190,Severínia
17.0,TAUBATÉ,4.00,0,15,1,30,1,49,2,355200,Silveiras
7.0,CAMPINAS,31.00,6,242,135,1241,412,1514,553,355210,Socorro
16.0,SOROCABA,"2,285.00",417,7285,1885,12797,5485,22367,7787,355220,Sorocaba
2.0,ARAÇATUBA,8.00,0,19,0,9,0,36,0,355230,Sud Mennucci
7.0,CAMPINAS,436.00,105,1891,382,1850,1093,4177,1580,355240,Sumaré
1.0,GRANDE SÃO PAULO,749.00,403,2168,1149,2057,1000,4974,2552,355250,Suzano
2.0,ARAÇATUBA,2.00,0,5,0,5,2,12,2,355255,Suzanápolis
15.0,SÃO JOSÉ DO RIO PRETO,66.00,35,192,108,262,184,520,327,355260,Tabapuã
3.0,ARARAQUARA,17.00,6,39,4,57,15,113,25,355270,Tabatinga
1.0,GRANDE SÃO PAULO,150.00,17,672,73,1362,161,2184,251,355280,Taboão da Serra
11.0,PRESIDENTE PRUDENTE,7.00,3,30,0,20,0,57,3,355290,Taciba
6.0,BAURU,2.00,0,246,136,1051,694,1299,830,355300,Taguaí
5.0,BARRETOS,12.00,4,9,6,17,5,38,15,355310,Taiaçu
5.0,BARRETOS,20.00,4,26,8,53,22,99,34,355320,Taiúva
14.0,SÃO JOÃO DA BOA VISTA,52.00,29,366,179,736,503,1154,711,355330,Tambaú
15.0,SÃO JOSÉ DO RIO PRETO,92.00,10,209,14,170,8,471,32,355340,Tanabi
16.0,SOROCABA,0.00,0,8,0,25,1,33,1,355350,Tapiraí
14.0,SÃO JOÃO DA BOA VISTA,34.00,24,167,100,672,416,873,540,355360,Tapiratiba
5.0,BARRETOS,22.00,7,55,15,98,34,175,56,355365,Taquaral
3.0,ARARAQUARA,8.00,4,83,13,77,8,168,25,355370,Taquaritinga
6.0,BAURU,5.00,0,47,0,152,35,204,35,355380,Taquarituba
16.0,SOROCABA,0.00,0,8,0,11,0,19,0,355385,Taquarivaí
11.0,PRESIDENTE PRUDENTE,23.00,0,83,4,75,2,181,6,355390,Tarabaí
9.0,MARÍLIA,79.00,53,225,147,162,63,466,263,355395,Tarumã
16.0,SOROCABA,221.00,5,822,13,1126,50,2169,68,355400,Tatuí
17.0,TAUBATÉ,"3,069.00",1240,4567,2839,1193,970,8829,5049,355410,Taubaté
6.0,BAURU,0.00,0,14,0,26,2,40,2,355420,Tejupá
11.0,PRESIDENTE PRUDENTE,81.00,0,208,2,207,1,496,3,355430,Teodoro Sampaio
5.0,BARRETOS,10.00,7,26,14,12,4,48,25,355440,Terra Roxa
16.0,SOROCABA,28.00,4,178,31,469,137,675,172,355450,Tietê
9.0,MARÍLIA,0.00,0,4,2,10,3,14,5,355460,Timburi
6.0,BAURU,0.00,0,0,0,8,1,8,1,355465,Torre de Pedra
6.0,BAURU,7.00,2,24,15,102,94,133,111,355470,Torrinha
3.0,ARARAQUARA,6.00,1,17,3,4,2,27,6,355475,Trabiju
17.0,TAUBATÉ,875.00,502,1822,1016,941,423,3638,1941,355480,Tremembé
15.0,SÃO JOSÉ DO RIO PRETO,3.00,0,15,0,12,2,30,2,355490,Três Fronteiras
7.0,CAMPINAS,14.00,1,40,10,84,26,138,37,355495,Tuiuti
9.0,MARÍLIA,142.00,37,441,96,659,143,1242,276,355500,Tupã
