DRS_id,DRS,Município,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Total Notificados,Total Confirmados,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19
7.00,CAMPINAS,350160 Americana,258.00,34.00,851.00,228.00,"1,248.00",466.00,"2,357.00",728.00,,,,,,,,,,,,,,,,,,,
3.00,ARARAQUARA,350170 Américo Brasiliense,75.00,8.00,170.00,32.00,145.00,32.00,390.00,72.00,,,,,,,,,,,,,,,,,,,
15.00,SÃO JOSÉ DO RIO PRETO,350180 Américo de Campos,14.00,4.00,36.00,16.00,38.00,12.00,88.00,32.00,,,,,,,,,,,,,,,,,,,
7.00,CAMPINAS,350190 Amparo,24.00,17.00,136.00,48.00,249.00,140.00,409.00,205.00,,,,,,,,,,,,,,,,,,,
10.00,PIRACICABA,350200 Analândia,27.00,11.00,237.00,180.00,302.00,295.00,566.00,486.00,,,,,,,,,,,,,,,,,,,
2.00,ARAÇATUBA,350210 Andradina,98.00,3.00,182.00,5.00,276.00,14.00,556.00,22.00,,,,,,,,,,,,,,,,,,,
16.00,SOROCABA,350220 Angatuba,6.00,0.00,100.00,15.00,243.00,85.00,349.00,100.00,,,,,,,,,,,,,,,,,,,
6.00,BAURU,350230 Anhembi,11.00,0.00,45.00,2.00,70.00,26.00,126.00,28.00,,,,,,,,,,,,,,,,,,,
11.00,PRESIDENTE PRUDENTE,350240 Anhumas,4.00,0.00,27.00,2.00,26.00,1.00,57.00,3.00,,,,,,,,,,,,,,,,,,,
17.00,TAUBATÉ,350250 Aparecida,86.00,13.00,429.00,122.00,362.00,118.00,877.00,253.00,,,,,,,,,,,,,,,,,,,
