DRS_id,DRS,Janeiro Notificados,Janeiro Confirmados,Fevereiro Notificados,Fevereiro Confirmados,Março Notificados,Março Confirmados,Abril Notificados,Abril Confirmados,Maio Notificados,Maio Confirmados,Junho Notificados,Junho Confirmados,Julho Notificados,Julho Confirmados,Agosto Confirmados,Agosto Notificados,Setembro Confirmados,Setembro Notificados,Outubro Confirmados,Outubro Notificados,Novembro Confirmados,Novembro Notificados,Dezembro Confirmados,Total Notificados,Total Confirmados,id_municipio,nome_municipio
11,Presidente Prudente,13,3,1,0,6,0,21,4,44,16,43,19,61,35,18,25,16,12,10,40,24,60,45,369,190,355390,Tarabaí
9,Marília,3,0,7,3,105,64,265,12,266,7,70,0,30,0,0,0,0,2,0,4,0,10,4,772,90,355395,Tarumã
16,Sorocaba,138,0,65,0,83,1,62,3,123,0,69,2,76,1,0,80,1,93,0,95,2,93,1,1056,11,355400,Tatuí
17,Taubaté,122,2,101,11,438,144,1224,480,1795,629,990,179,477,60,7,247,4,292,11,260,5,234,4,6405,1536,355410,Taubaté
6,Bauru,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,355420,Tejupá
11,Presidente Prudente,110,12,104,31,915,609,1891,1579,1183,981,281,208,99,62,21,50,2,65,4,69,4,110,8,4950,3521,355430,Teodoro Sampaio
5,Barretos,1,0,1,0,42,26,99,50,47,39,7,3,4,1,0,1,0,4,0,1,0,1,0,208,119,355440,Terra Roxa
16,Sorocaba,8,4,32,13,96,57,150,72,194,89,79,23,26,1,3,11,0,12,2,18,0,11,1,655,265,355450,Tietê
9,Marília,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,355460,Timburi
6,Bauru,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,355465,Torre de Pedra
6,Bauru,0,0,0,0,1,0,3,0,8,1,2,0,0,0,0,1,0,0,0,0,0,0,0,15,1,355470,Torrinha
3,Araraquara,0,0,0,0,16,3,32,5,14,5,1,0,0,0,0,2,0,8,0,4,0,0,0,78,13,355475,Trabiju
17,Taubaté,10,0,10,0,51,21,217,117,267,122,71,5,37,4,1,19,1,22,0,23,2,34,6,783,279,355480,Tremembé
15,São José do Rio Preto,42,22,157,113,117,111,39,37,6,5,0,0,0,0,0,0,0,0,0,0,0,2,0,363,288,355490,Três Fronteiras
7,Campinas,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,355495,Tuiuti
9,Marília,37,6,64,28,476,300,1618,1027,1987,1213,601,337,254,98,34,48,11,59,16,54,11,57,14,5368,3095,355500,Tupã
11,Presidente Prudente,27,17,128,105,531,408,532,412,262,199,45,32,16,12,7,16,6,30,10,51,23,97,70,1750,1301,355510,Tupi Paulista
2,Araçatuba,11,10,13,10,15,12,12,10,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,56,45,355520,Turiúba
15,São José do Rio Preto,4,4,25,21,57,51,23,23,4,3,1,1,1,1,0,0,0,1,0,0,0,1,0,117,104,355530,Turmalina
15,São José do Rio Preto,14,2,11,4,112,93,219,195,237,213,35,30,9,6,0,1,0,0,0,2,0,3,1,645,544,355535,Ubarana
17,Taubaté,30,3,10,1,25,2,98,18,308,88,203,20,143,13,4,56,4,57,3,74,6,75,5,1133,167,355540,Ubatuba
9,Marília,0,0,0,0,5,2,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,2,355550,Ubirajara
15,São José do Rio Preto,24,1,20,0,49,15,178,75,229,123,82,40,30,11,4,12,2,19,4,9,4,15,0,686,279,355560,Uchoa
15,São José do Rio Preto,25,14,13,7,21,10,37,15,19,5,0,0,4,0,1,0,0,0,0,0,0,2,0,122,52,355570,União Paulista
15,São José do Rio Preto,80,31,204,151,606,597,517,509,226,224,80,80,58,58,2,11,0,13,1,14,0,18,0,1846,1653,355580,Urânia
6,Bauru,0,0,0,0,1,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,355590,Uru
15,São José do Rio Preto,4,1,3,0,14,3,44,20,29,21,19,13,9,4,2,8,2,4,3,5,0,2,0,148,69,355600,Urupês
15,São José do Rio Preto,18,8,29,17,105,44,177,69,168,68,86,22,26,8,5,10,0,7,0,5,0,6,0,651,241,355610,Valentim Gentil
7,Campinas,53,4,46,11,362,226,714,435,699,356,237,44,117,10,4,52,2,75,2,59,1,94,1,2589,1096,355620,Valinhos
2,Araçatuba,10,1,51,13,66,34,135,94,84,72,27,18,27,13,10,12,3,6,0,19,1,41,4,495,263,355630,Valparaíso
7,Campinas,0,0,1,0,0,0,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,0,355635,Vargem
14,São João da Boa Vista,0,0,0,0,3,1,2,1,4,3,4,1,0,0,1,0,0,0,0,2,1,1,1,18,9,355640,Vargem Grande do Sul
1,São Paulo,0,0,4,0,4,0,12,3,17,7,9,3,2,0,0,4,0,3,0,1,0,1,0,57,13,355645,Vargem Grande Paulista
7,Campinas,29,6,23,6,172,116,464,338,362,225,120,42,40,4,2,25,1,29,3,35,7,34,9,1369,759,355650,Várzea Paulista
9,Marília,2,1,12,9,331,254,617,528,352,289,16,14,9,2,1,4,0,5,0,2,0,0,0,1354,1098,355660,Vera Cruz
7,Campinas,22,0,14,3,90,38,211,81,159,75,72,15,51,0,2,25,0,53,2,29,0,36,1,789,217,355670,Vinhedo
5,Barretos,4,0,0,0,7,6,162,87,224,115,65,38,35,19,12,7,6,9,7,16,8,10,6,558,304,355680,Viradouro
5,Barretos,6,2,9,5,32,21,67,59,55,43,8,4,10,6,0,0,0,6,3,1,0,0,0,194,143,355690,Vista Alegre do Alto
15,São José do Rio Preto,24,24,11,11,15,14,26,24,10,8,1,1,0,0,0,2,0,1,0,3,0,1,0,94,82,355695,Vitória Brasil
16,Sorocaba,132,0,75,6,159,65,403,222,594,249,296,61,177,21,15,115,4,108,1,96,2,105,10,2375,656,355700,Votorantim
15,São José do Rio Preto,"1,077",586,1620,1292,3292,2830,3439,3103,1927,1271,888,356,447,143,81,248,90,378,148,320,85,293,67,14201,10052,355710,Votuporanga
15,São José do Rio Preto,5,1,18,15,125,98,25,2,2,0,0,0,1,1,0,0,0,1,1,1,0,2,1,182,119,355715,Zacarias
9,Marília,0,0,1,0,19,11,42,24,100,51,20,13,4,0,0,2,0,2,0,0,0,0,0,192,99,355720,Chavantes
14,São João da Boa Vista,4,0,5,0,12,2,32,4,23,12,16,0,7,2,2,0,0,4,0,5,0,4,2,116,24,355730,Estiva Gerbi
