Distribuição dos casos  autóctones de dengue segundo o município de residência, por semana epidemiológica de início de sintomas, ESP, 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DRS;;GVE;;RS;;MUNICÍPIO DE RESIDÊNCIA;SE 01;SE 02;SE 03;SE 04;SE 05;SE 06;SE 07;SE 08;SE 09;SE 10;SE 11;SE 12;SE 13;SE 14;SE 15;SE 16;SE 17;SE 18;SE 19;SE 20;SE 21;SE 22;SE 23;SE 24;SE 25;SE 26;SE 27;SE 28;SE 29;SE 30;SE 31;SE 32;SE 33;SE 34;SE 35;SE 36;SE 37;SE 38;SE 39;SE 40;SE 41;SE 42;SE 43;SE 44;SE 45;SE 46;SE 47;SE 48;SE 49;SE 50;SE 51;SE 52;Total
9;Marília;XIX;MARÍLIA;35093;MARÍLIA;350150 Alvinlândia;0;0;2;0;0;0;0;3;1;2;8;9;11;23;18;28;12;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121
7;Campinas;XVII;CAMPINAS;35072;REG METRO CAMPINAS;350160 Americana;5;4;8;6;3;5;7;3;11;11;12;20;33;45;58;44;52;54;35;35;14;15;8;8;8;3;6;2;3;0;0;3;2;1;1;1;1;2;3;4;2;4;4;5;2;1;0;1;1;4;1;3;564
3;Araraquara;XII;ARARAQUARA;35031;CENTRAL DO DRS III;350170 Américo Brasiliense;1;0;0;0;1;2;3;9;27;21;18;25;28;36;30;20;29;24;20;10;9;3;2;3;6;6;2;3;0;0;0;0;2;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;346
15;São José do Rio Preto;XXIX;SÃO JOSÉ DO RIO PRETO;35157;VOTUPORANGA;350180 Américo de Campos;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
7;Campinas;XVII;CAMPINAS;35074;CIRCUITO DAS AGUAS;350190 Amparo;0;2;1;3;3;6;1;2;7;24;20;30;34;48;48;55;51;41;47;41;24;11;9;5;2;3;4;3;2;0;0;2;3;1;0;0;2;0;1;2;0;1;0;0;1;0;1;1;0;0;0;1;543
10;Piracicaba;XX;PIRACICABA;35104;RIO CLARO;350200 Analândia;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;7
2;Araçatuba;XI;ARAÇATUBA;35022;LAGOS DO DRS II;350210 Andradina;9;3;14;12;25;14;32;34;100;164;253;302;314;285;318;248;204;201;165;134;87;54;34;36;23;29;9;6;1;1;0;3;0;0;0;0;0;0;1;2;0;2;0;1;0;0;0;0;1;0;0;0;3121
16;Sorocaba;XXXI;SOROCABA;35161;ITAPETININGA;350220 Angatuba;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
6;Bauru;XVI;BOTUCATU;35063;POLO CUESTA;350230 Anhembi;0;0;0;0;0;0;1;0;0;1;2;8;6;16;19;16;16;9;13;6;1;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119
11;Presidente Prudente;XXI;PRESIDENTE PRUDENTE;35112;ALTA SOROCABANA;350240 Anhumas;0;2;1;2;6;9;4;8;15;15;21;17;23;23;11;7;19;3;9;1;4;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204
17;Taubaté;XXXIII;TAUBATÉ;35172;CIRCUITO DA FÉ - VALE HISTÓRICO;350250 Aparecida;3;0;1;2;6;11;7;18;11;17;31;26;24;14;14;20;8;12;13;6;5;0;2;3;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;260
15;São José do Rio Preto;XXX;JALES;35153;JALES;350260 Aparecida d'Oeste;1;0;0;0;1;0;0;2;1;1;2;3;6;1;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;26
16;Sorocaba;XXXII;ITAPEVA;35162;ITAPEVA;350270 Apiaí;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
16;Sorocaba;XXXI;SOROCABA;35163;SOROCABA;350275 Araçariguama;0;0;1;0;0;2;0;1;4;7;4;11;8;4;8;21;14;9;11;7;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;115
2;Araçatuba;XI;ARAÇATUBA;35021;CENTRAL DO DRS II;350280 Araçatuba;9;7;12;29;11;23;17;21;32;35;54;40;58;88;62;66;61;53;53;45;30;22;23;8;12;9;7;7;3;6;2;2;3;3;2;6;4;3;1;6;5;7;4;4;5;4;1;5;7;5;3;4;989
16;Sorocaba;XXXI;SOROCABA;35163;SOROCABA;350290 Araçoiaba da Serra;0;0;0;0;0;0;0;0;0;1;0;0;5;4;3;6;4;7;2;12;4;2;1;3;2;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;61
8;Franca;XVIII;FRANCA;35083;ALTA MOGIANA;350300 Aramina;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
6;Bauru;XVI;BOTUCATU;35061;VALE DO JURUMIRIM;350310 Arandu;0;0;0;0;0;0;0;0;0;0;0;0;3;5;6;6;10;10;6;15;6;5;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;81
